IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,376.91","4,393.87","4,019.01",783.06,"1,119.24"
매출원가,"2,207.92","2,756.03","2,892.40",633.24,702.22
매출총이익,"1,168.99","1,637.84","1,126.61",149.83,417.01
판매비와관리비,488.00,396.53,373.44,80.09,99.43
인건비,226.08,233.95,211.31,0.0,0.0
유무형자산상각비,38.17,35.67,29.06,0.0,0.0
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,162.53,67.03,74.22,0.0,0.0
관리비,54.19,54.40,51.04,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.04,5.48,7.80,80.09,99.43
영업이익,680.98,"1,241.32",753.17,69.74,317.58
영업이익(발표기준),680.98,"1,241.32",753.17,69.74,317.58
금융수익,14.65,54.03,122.60,26.55,18.82
이자수익,14.65,54.03,84.94,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,37.67,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,26.55,18.82
금융원가,15.16,13.38,9.35,3.01,2.37
이자비용,15.16,11.13,7.62,0.0,0.0
외환손실,0.0,2.25,1.73,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,3.01,2.37
기타수익,117.93,119.79,83.93,19.90,28.95
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,30.64,14.51,22.08,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.32,3.88,16.62,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,2.58,3.97,8.84,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.07,0.08,0.0,0.0,0.0
대손충당금환입,0.0,0.03,0.01,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,84.32,97.33,36.38,19.90,28.95
기타비용,49.95,30.32,17.30,21.70,12.08
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,47.24,18.96,3.08,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,10.24,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.02,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.69,1.13,14.21,21.70,12.08
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,748.45,"1,371.44",933.06,91.49,350.90
법인세비용,163.02,177.64,199.06,69.39,67.60
계속영업이익,585.43,"1,193.80",734.01,22.09,283.30
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,585.43,"1,193.80",734.01,22.09,283.30
지배주주순이익,585.43,"1,193.80",734.01,22.09,283.30
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
