IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"86,277.28","95,216.28","99,987.23","26,173.26","24,046.48"
매출원가,"77,806.49","86,120.31","91,865.40","24,272.69","21,845.95"
매출총이익,"8,470.79","9,095.97","8,121.84","1,900.56","2,200.53"
판매비와관리비,"5,904.89","6,260.12","7,166.46","1,689.82","1,547.32"
인건비,"1,570.66","1,666.26","1,775.52",470.66,444.25
유무형자산상각비,364.17,371.06,412.08,101.40,103.15
연구개발비,"1,838.10","1,860.93","2,151.86",518.06,450.98
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,"1,040.52","1,319.22","1,462.90",294.41,236.74
관리비,883.56,909.61,964.97,241.38,252.03
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,207.88,133.05,399.13,63.91,60.16
영업이익,"2,565.90","2,835.85",955.37,210.75,653.21
영업이익(발표기준),"2,565.90","2,835.85",955.37,210.75,653.21
금융수익,978.39,"1,312.90","1,887.48","1,289.48",609.71
이자수익,129.07,289.77,334.03,89.21,86.29
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,792.46,"1,025.23","1,545.84","1,200.27",512.56
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,4.32,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,11.41,0.0,10.85
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,56.86,5.65,0.0,0.0,0.0
기타금융수익,0.0,-12.07,-3.80,0.0,0.0
금융원가,"2,013.65","2,183.03","4,695.64","1,637.27","1,230.66"
이자비용,"1,055.82","1,856.59","2,647.71",594.10,639.88
외환손실,543.13,186.61,"1,128.76","1,000.73",320.24
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,3.27,0.0,0.0,0.0
금융자산평가손실,195.23,17.13,0.0,15.55,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,219.47,120.89,920.48,26.89,270.54
기타금융원가,0.0,-1.46,-1.30,0.0,0.0
기타수익,"3,082.12","2,642.43","3,281.45",567.29,"1,150.03"
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"2,731.64","2,222.18","2,998.18",542.59,"1,071.71"
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,34.01,187.89,36.63,2.59,9.13
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,133.86,72.00,88.98,15.98,8.29
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,182.61,160.35,157.66,6.14,60.90
기타비용,"3,730.04","3,225.89","4,853.78",636.44,998.43
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"2,640.06","2,423.14","2,626.04",423.20,788.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,39.51,135.06,181.62,1.70,42.55
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,405.16,210.79,"1,349.84",45.61,7.73
파생상품손실,355.44,167.56,212.61,53.63,58.17
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,289.88,289.34,483.67,112.30,101.96
"종속기업,공동지배기업및관계기업관련손익",88.96,124.74,128.23,32.72,24.00
지분법손익,88.96,124.74,128.23,32.72,24.00
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,971.68,"1,507.00","-3,296.90",-173.48,207.86
법인세비용,704.25,847.73,195.91,52.44,106.70
계속영업이익,267.43,659.27,"-3,492.80",-225.92,101.16
중단영업이익,0.0,-70.41,-93.15,0.0,0.0
당기순이익,267.43,588.87,"-3,585.96",-225.92,101.16
지배주주순이익,204.38,509.85,"-3,632.56",-240.13,82.87
비지배주주순이익,63.05,79.02,46.60,14.21,18.29
