IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,589.28,650.47,701.24,90.88,81.67
매출원가,199.46,256.14,213.42,26.93,24.74
매출총이익,389.82,394.33,487.82,63.95,56.93
판매비와관리비,276.91,302.17,309.63,42.55,39.04
인건비,98.40,107.77,113.56,12.27,15.49
유무형자산상각비,36.46,37.71,35.11,5.69,5.79
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,6.91,4.98,3.76,0.27,0.21
판매비,8.93,9.47,8.32,0.21,-0.85
관리비,126.21,142.24,148.89,24.11,18.40
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,112.91,92.17,178.19,21.40,17.89
영업이익(발표기준),112.91,92.17,178.19,21.40,17.89
금융수익,46.86,252.51,75.30,83.73,40.97
이자수익,12.08,35.20,23.23,2.70,9.01
배당금수익,15.36,14.96,15.13,0.0,0.0
외환이익,0.0,0.0,16.94,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,56.54,3.60,11.12,0.0
금융자산평가이익,0.0,145.82,7.52,69.91,26.15
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,19.42,0.0,8.88,0.0,5.81
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,310.53,182.98,476.61,27.90,37.48
이자비용,71.67,104.51,90.22,18.97,25.74
외환손실,14.73,2.21,0.0,0.0,5.74
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,69.40,57.39,0.0,1.47
금융자산평가손실,224.13,6.86,310.05,8.92,4.53
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,18.95,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,8.98,14.12,117.83,110.75,0.46
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.20,0.0,110.89,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.27,0.35,0.20,0.09,0.09
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.00,0.00,0.01,0.0,0.0
대손충당금환입,0.99,0.0,0.0,0.00,0.01
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.51,13.77,6.74,110.66,0.36
기타비용,54.96,1.65,11.94,40.87,0.12
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.10,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,53.52,0.21,11.51,0.0,0.10
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.98,0.08,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.44,0.35,0.35,40.87,0.02
"종속기업,공동지배기업및관계기업관련손익",-44.89,-15.82,-6.98,-4.73,-7.22
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-44.89,-15.82,-6.98,-4.73,-7.22
세전계속사업이익,-241.64,158.35,-124.22,142.38,14.50
법인세비용,-66.33,35.45,-11.05,27.99,5.81
계속영업이익,-175.31,122.89,-113.17,114.39,8.69
중단영업이익,0.0,0.0,0.0,-1.22,-6.74
당기순이익,-175.31,122.89,-113.17,113.17,1.95
지배주주순이익,-199.00,137.51,-126.13,89.96,8.76
비지배주주순이익,23.69,-14.62,12.96,23.22,-6.81
