IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"4,696.67","5,862.98","6,510.79","1,703.86","1,428.89"
매출원가,"3,983.44","4,934.38","5,599.05","1,529.12","1,233.41"
매출총이익,713.22,928.60,911.74,174.74,195.48
판매비와관리비,701.94,497.97,602.11,140.91,119.40
인건비,162.75,182.15,161.48,39.91,35.57
유무형자산상각비,8.97,8.64,7.05,2.27,1.82
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,20.39,31.61,38.48,11.09,8.76
관리비,465.74,224.27,338.45,72.87,61.10
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,44.08,51.30,56.65,14.77,12.15
영업이익,11.29,430.63,309.64,33.83,76.09
영업이익(발표기준),11.29,430.63,309.64,33.83,76.09
금융수익,16.67,9.53,50.40,4.02,3.85
이자수익,6.90,7.96,19.79,3.58,2.20
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.04,1.57,23.14,0.44,0.75
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,5.73,0.0,7.46,0.0,0.89
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,73.00,66.24,77.60,14.02,16.92
이자비용,60.22,63.30,54.08,13.15,15.61
외환손실,10.06,0.93,23.40,0.28,1.26
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,2.73,0.0,0.0,0.0,0.0
파생상품손실,0.0,1.63,0.0,0.60,0.0
기타금융원가,0.0,0.37,0.12,0.0,0.06
기타수익,292.81,269.77,228.59,46.09,42.70
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,4.31,6.86,10.64,4.61,6.38
외환이익,223.84,90.72,95.80,16.83,23.53
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.07,8.58,2.64,0.0,0.00
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,3.40,0.24,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,10.92,9.71,32.01,7.27,7.58
로열티수익,0.0,0.08,0.28,0.0,0.09
수수료수익,0.0,0.0,0.13,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,50.27,153.58,87.10,17.39,5.11
기타비용,198.64,264.94,128.54,25.26,14.63
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,193.04,64.86,87.39,24.47,14.21
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,8.15,0.84,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.45,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.49,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.66,191.93,40.32,0.79,0.42
"종속기업,공동지배기업및관계기업관련손익",-25.85,-4.57,1.76,0.64,1.49
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-25.85,-4.57,1.76,0.64,1.49
세전계속사업이익,23.28,374.17,384.25,45.30,92.57
법인세비용,86.54,98.50,49.57,5.36,13.99
계속영업이익,-63.27,275.67,334.68,39.94,78.58
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-63.27,275.67,334.68,39.94,78.58
지배주주순이익,-47.57,284.23,318.43,39.94,74.72
비지배주주순이익,-15.69,-8.56,16.25,0.0,3.85
