IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,79.03,55.04,65.80,11.55,9.73
매출원가,118.91,60.63,82.43,14.03,20.80
매출총이익,-39.87,-5.59,-16.63,-2.48,-11.07
판매비와관리비,57.65,59.92,46.67,56.41,12.57
인건비,24.97,18.61,17.50,10.35,4.88
유무형자산상각비,3.86,5.15,5.05,2.12,1.27
연구개발비,0.0,8.52,3.42,0.0,1.35
광고선전비,0.00,0.03,0.20,0.17,0.0
판매비,2.00,0.32,0.98,0.05,-0.01
관리비,26.81,27.29,19.51,35.77,5.07
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.0,0.0,7.94,0.0
영업이익,-97.52,-65.51,-63.30,-58.88,-23.63
영업이익(발표기준),-97.52,-65.51,-63.30,-58.88,-23.63
금융수익,24.04,1.64,298.78,0.90,1.26
이자수익,0.24,0.42,0.98,0.61,0.18
배당금수익,0.05,0.0,0.0,0.0,0.0
외환이익,9.14,0.89,6.22,0.29,1.09
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.19,0.27,0.0,0.0
금융자산평가이익,0.0,0.14,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,14.61,0.0,291.31,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,22.52,9.57,231.24,7.35,7.07
이자비용,11.97,8.35,36.57,7.09,6.80
외환손실,7.10,0.87,4.07,0.26,0.27
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,3.07,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,3.45,0.34,187.54,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,13.08,1.63,5.61,11.38,0.33
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,5.87,0.14,0.39,7.63,0.08
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.75,1.00,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,6.46,0.48,5.22,3.74,0.26
기타비용,11.74,0.64,660.24,0.41,0.04
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.76,0.0,1.12,0.38,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.10,0.01,4.40,0.0,0.0
충당부채전입액,0.0,0.0,40.88,0.0,0.0
기타,8.88,0.64,613.85,0.02,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-94.66,-72.45,-650.39,-54.36,-29.14
법인세비용,0.0,-2.08,-57.23,14.58,0.0
계속영업이익,-94.66,-70.37,-593.15,-68.94,-29.14
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-94.66,-70.37,-593.15,-68.94,-29.14
지배주주순이익,-94.66,-70.37,-593.15,-49.92,-29.14
비지배주주순이익,0.0,0.0,0.0,-19.02,0.0
