IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,243.48",543.35,891.57,218.16,229.50
매출원가,"1,166.48",563.84,805.53,203.91,207.24
매출총이익,77.00,-20.49,86.04,14.25,22.26
판매비와관리비,66.48,59.14,72.14,21.51,16.31
인건비,22.38,19.20,22.82,6.74,4.82
유무형자산상각비,1.61,1.06,2.12,0.52,0.55
연구개발비,5.67,12.47,17.72,6.63,2.37
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,1.98,1.71,3.80,0.46,0.95
관리비,31.09,19.38,20.81,6.01,6.60
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.75,5.30,4.86,1.16,1.02
영업이익,10.52,-79.63,13.90,-7.26,5.95
영업이익(발표기준),10.52,-79.63,13.90,-7.26,5.95
금융수익,52.63,25.82,44.41,10.23,11.35
이자수익,1.82,3.07,2.29,0.60,0.63
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,50.82,22.75,42.12,9.63,10.71
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,110.81,67.32,47.28,15.00,12.24
이자비용,53.02,43.38,23.05,6.18,6.96
외환손실,57.80,23.94,24.23,8.82,5.28
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,12.62,8.32,58.58,0.21,51.18
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,6.05,2.87,49.73,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.39,0.10,0.00,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,6.19,5.35,8.85,0.21,51.18
기타비용,1.24,44.52,11.73,0.58,4.53
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.44,42.11,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.80,2.41,11.73,0.58,4.53
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-36.27,-157.33,57.89,-12.40,51.71
법인세비용,-3.64,-8.11,1.34,0.35,0.0
계속영업이익,-32.63,-149.22,56.54,-12.74,51.71
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-32.63,-149.22,56.54,-12.74,51.71
지배주주순이익,-32.63,-149.22,56.54,-12.74,51.71
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
