IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"18,930.78","19,095.92","18,270.40","4,495.16","4,344.61"
매출원가,"18,372.34","18,279.87","16,323.82","3,793.13","4,005.79"
매출총이익,558.43,816.05,"1,946.58",702.03,338.82
판매비와관리비,569.35,634.58,"1,300.61",413.17,163.40
인건비,288.17,342.45,358.07,71.21,79.29
유무형자산상각비,14.54,14.77,17.39,8.44,3.89
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,75.00,74.75,79.08,3.13,3.17
판매비,48.52,82.67,665.81,284.83,38.71
관리비,141.36,119.18,179.07,45.17,38.00
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.77,0.77,1.19,0.39,0.34
영업이익,-10.92,181.47,645.97,288.87,175.43
영업이익(발표기준),-10.92,181.47,645.97,288.87,175.43
금융수익,118.02,139.97,280.27,35.48,44.54
이자수익,53.55,96.04,77.30,17.56,26.64
배당금수익,22.26,5.58,5.12,1.85,3.75
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.60,0.37,47.09,0.0,0.0
금융자산평가이익,9.43,5.18,26.91,0.36,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,32.19,32.81,123.85,15.71,14.15
금융원가,100.20,211.35,277.62,88.83,58.67
이자비용,79.33,189.34,233.03,77.26,53.28
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,8.36,0.64,5.19,0.02,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,10.45,19.52,37.52,11.55,5.14
기타금융원가,2.06,1.84,1.89,0.0,0.25
기타수익,218.84,134.50,125.04,21.30,33.40
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.85,1.52,10.86,0.02,3.55
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.93,0.93,0.06,0.0,0.03
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,65.78,20.48,0.0,1.44,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,4.17,4.20,4.34,1.09,1.09
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,69.60,28.59,3.41,0.0,3.41
기타,73.51,78.79,106.37,18.77,25.33
기타비용,90.04,58.10,549.61,94.30,173.29
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.16,0.37,1.62,0.17,0.91
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.34,7.45,8.90,6.22,0.04
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,53.56,32.03,456.34,39.99,162.23
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,58.56,28.01,0.0
기타,33.99,18.25,24.19,19.91,10.12
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,135.71,186.49,224.04,162.52,21.41
법인세비용,91.33,82.98,64.43,26.76,11.14
계속영업이익,44.38,103.51,159.61,135.75,10.27
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,44.38,103.51,159.61,135.75,10.27
