IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"11,526.80","14,858.76","14,732.91","2,967.80","4,401.17"
매출원가,"10,196.05","12,978.19","12,857.68","2,590.41","3,875.64"
매출총이익,"1,330.75","1,880.57","1,875.23",377.39,525.53
판매비와관리비,684.07,774.93,785.31,148.75,173.69
인건비,365.94,392.43,446.60,81.25,97.88
유무형자산상각비,14.61,14.44,19.58,5.16,4.93
연구개발비,140.07,156.58,88.39,24.51,21.92
광고선전비,2.74,3.53,5.93,0.22,1.45
판매비,-4.99,34.20,46.60,3.05,5.20
관리비,74.92,91.95,86.03,18.43,21.85
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,90.77,81.79,92.17,16.13,20.46
영업이익,646.68,"1,105.64","1,089.92",228.64,351.83
영업이익(발표기준),646.68,"1,105.64","1,089.92",228.64,351.83
금융수익,69.72,58.79,76.02,20.84,18.05
이자수익,39.16,38.11,41.60,15.17,7.30
배당금수익,0.71,0.63,0.56,0.50,0.50
외환이익,23.40,16.81,32.43,5.17,10.17
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,5.17,0.00,0.08,0.0,0.08
금융자산평가이익,0.73,0.81,1.34,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.55,2.42,0.0,0.0,0.0
금융원가,41.06,31.36,23.33,10.02,7.69
이자비용,1.60,2.60,2.23,0.33,0.85
외환손실,26.53,24.57,14.44,9.68,6.84
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,1.12,1.52,0.0,0.0,0.0
금융자산처분손실,0.0,0.86,0.0,0.0,0.0
금융자산평가손실,2.20,0.80,6.67,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,9.61,1.00,0.0,0.0,0.0
기타수익,25.65,62.33,113.37,49.16,5.97
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.26,0.11,0.36,0.01,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.78,2.79,2.30,0.20,0.98
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,19.59,16.00,91.81,3.28,0.21
충당부채환입액,0.0,0.0,0.0,12.07,0.0
기타,5.01,43.43,18.90,33.61,4.79
기타비용,92.57,64.43,70.41,5.20,31.11
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,5.73,0.10,0.11,0.00,0.07
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,2.30,0.0,14.47,0.0,6.71
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,33.74,47.89,0.03,22.97
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,84.54,30.59,7.94,5.17,1.36
"종속기업,공동지배기업및관계기업관련손익",-0.55,-0.79,-0.47,-0.09,-0.05
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-0.55,-0.79,-0.47,-0.09,-0.05
세전계속사업이익,607.87,"1,130.18","1,185.09",283.34,337.01
법인세비용,149.36,208.90,299.10,66.67,79.67
계속영업이익,458.51,921.28,885.99,216.67,257.35
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,458.51,921.28,885.99,216.67,257.35
지배주주순이익,455.82,918.79,880.37,215.36,256.43
비지배주주순이익,2.69,2.49,5.62,1.31,0.91
