IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,820.11","5,556.29","5,582.92","1,278.23","1,349.15"
매출원가,"4,579.03","4,253.96","4,547.52","1,059.04","1,059.06"
매출총이익,"1,241.08","1,302.33","1,035.39",219.20,290.09
판매비와관리비,565.21,628.65,648.13,147.90,156.81
인건비,193.73,205.37,212.56,49.80,49.92
유무형자산상각비,14.92,16.33,16.12,3.61,4.04
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.18,0.21,0.28,0.01,0.01
판매비,290.98,334.84,338.85,78.14,84.49
관리비,64.79,71.22,79.64,16.00,18.19
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.62,0.67,0.68,0.34,0.16
영업이익,675.87,673.69,387.27,71.29,133.27
영업이익(발표기준),675.87,673.69,387.27,71.29,133.27
금융수익,17.53,36.07,45.50,12.40,11.03
이자수익,16.99,35.47,44.21,10.56,10.92
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.54,0.60,1.29,1.84,0.11
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,17.36,14.55,15.00,5.23,4.66
이자비용,16.54,13.42,15.00,5.05,3.33
외환손실,0.82,1.13,0.0,0.0,1.33
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.00,0.00,0.0,0.18,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,68.09,66.05,59.14,17.82,16.22
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.65,0.36,0.07,0.04,0.02
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.11,0.61,0.17,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.01,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,67.31,65.09,58.90,17.78,16.20
기타비용,5.96,4.20,2.83,0.18,0.86
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.42,0.11,0.52,0.01,0.16
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,2.96,0.62,0.75,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.03,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.54,3.47,1.56,0.17,0.70
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,738.17,757.06,474.08,96.11,155.00
법인세비용,103.02,148.77,96.09,15.95,23.83
계속영업이익,635.15,608.29,377.99,80.15,131.17
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,635.15,608.29,377.99,80.15,131.17
지배주주순이익,562.42,534.54,325.19,67.13,115.29
비지배주주순이익,72.72,73.75,52.80,13.02,15.88
