IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,539.88","1,684.67","1,563.27",406.21,392.99
매출원가,"1,321.39","1,383.17","1,260.81",318.83,317.88
매출총이익,218.50,301.50,302.46,87.38,75.11
판매비와관리비,180.83,184.83,177.47,48.17,50.93
인건비,75.71,78.52,76.43,22.04,20.85
유무형자산상각비,14.70,14.10,11.73,3.00,3.19
연구개발비,0.66,0.89,0.55,0.0,0.27
광고선전비,0.08,0.07,0.04,0.09,0.0
판매비,47.42,46.17,42.93,11.62,9.98
관리비,42.27,45.09,45.76,11.44,16.63
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.00,0.04,0.00,0.00
영업이익,37.66,116.67,124.99,39.21,24.18
영업이익(발표기준),37.66,116.67,124.99,39.21,24.18
금융수익,9.96,2.53,4.50,3.19,2.13
이자수익,2.62,1.78,2.45,0.43,0.42
배당금수익,2.08,0.31,2.05,2.27,1.71
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,4.03,0.44,0.0,0.49,0.0
금융자산평가이익,1.22,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.57,3.81,6.10,0.11,0.18
이자비용,3.18,0.28,0.11,0.09,0.06
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.31,0.42,0.78,0.0,0.09
금융자산평가손실,0.0,2.98,5.09,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.08,0.12,0.11,0.02,0.03
기타수익,14.11,9.03,9.83,1.61,2.26
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.49,0.67,1.51,0.20,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,9.33,1.66,1.64,0.32,0.55
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.07,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.22,6.70,6.68,1.08,1.71
기타비용,4.77,5.87,3.17,0.12,0.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.11,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.21,4.84,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.07,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.49,0.91,3.17,0.12,0.14
"종속기업,공동지배기업및관계기업관련손익",8.09,7.28,3.42,0.93,0.78
지분법손익,8.09,7.28,3.42,0.93,0.78
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,61.48,125.84,133.47,44.70,29.02
법인세비용,6.68,17.57,28.03,8.15,6.74
계속영업이익,54.80,108.27,105.44,36.56,22.28
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,54.80,108.27,105.44,36.56,22.28
지배주주순이익,34.41,84.66,80.47,29.96,17.66
비지배주주순이익,20.38,23.61,24.96,6.59,4.62
