IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,372.25","1,359.82","1,798.79",360.51,219.66
매출원가,"1,148.91","1,190.90","1,534.25",313.11,190.53
매출총이익,223.34,168.92,264.54,47.39,29.13
판매비와관리비,145.63,159.09,198.91,60.86,47.67
인건비,79.12,83.60,102.89,26.48,24.01
유무형자산상각비,7.65,7.15,7.83,2.24,1.98
연구개발비,19.76,20.66,23.55,4.53,6.17
광고선전비,1.05,2.96,7.01,7.12,1.09
판매비,-1.26,1.13,5.51,0.48,2.01
관리비,39.31,43.60,52.12,20.00,12.41
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,77.70,9.83,65.63,-13.46,-18.54
영업이익(발표기준),77.70,9.83,65.63,-13.46,-18.54
금융수익,23.20,18.61,17.76,3.73,9.34
이자수익,4.34,8.25,12.02,2.26,5.61
배당금수익,0.19,0.24,0.43,0.0,0.0
외환이익,0.10,0.09,2.10,0.88,0.27
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,4.62,1.16,0.13,0.43,0.13
금융자산평가이익,6.72,0.18,0.14,0.16,0.15
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,7.24,8.69,2.92,0.0,2.88
기타금융수익,0.0,0.0,0.0,0.0,0.29
금융원가,31.53,29.61,30.12,1.17,5.54
이자비용,16.24,10.20,4.14,0.98,1.00
외환손실,0.09,0.16,0.18,0.02,0.02
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,1.45,3.94,0.0,0.0,0.0
금융자산평가손실,2.03,8.76,13.84,0.17,0.05
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.45,6.52,11.76,0.0,4.41
기타금융원가,11.27,0.04,0.20,0.0,0.06
기타수익,24.94,6.34,4.64,0.67,3.78
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.06,0.34,0.01,0.00,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,19.37,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.09,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,1.75,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.27,0.16,0.04,0.0
충당부채환입액,0.0,4.12,0.0,0.0,0.0
기타,3.76,1.53,4.47,0.63,3.78
기타비용,20.97,23.19,21.18,1.79,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.01,0.10,0.01,0.0,0.01
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,13.00,23.01,0.75,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.35,0.0,11.51,0.04,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,6.61,0.08,8.91,1.75,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,73.36,-18.02,36.73,-12.03,-10.97
법인세비용,8.29,5.63,-0.45,2.72,1.28
계속영업이익,65.07,-23.65,37.18,-14.74,-12.25
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,65.07,-23.65,37.18,-14.74,-12.25
지배주주순이익,53.70,-23.65,37.18,-14.74,-12.25
비지배주주순이익,11.37,0.0,0.0,0.0,0.0
