IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,467.18","1,266.95","1,168.52",293.69,305.80
매출원가,"1,390.47","1,205.21","1,110.59",281.54,293.86
매출총이익,76.71,61.75,57.93,12.14,11.94
판매비와관리비,59.86,60.88,60.76,14.03,13.74
인건비,30.74,30.96,30.97,0.0,0.0
유무형자산상각비,4.57,5.03,5.34,0.0,0.0
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-0.30,0.13,0.12,0.0,0.0
관리비,24.14,23.99,23.53,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.71,0.76,0.79,14.03,13.74
영업이익,16.85,0.87,-2.83,-1.88,-1.81
영업이익(발표기준),16.85,0.87,-2.83,-1.88,-1.81
금융수익,0.45,0.27,0.21,0.06,0.05
이자수익,0.45,0.27,0.21,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.06,0.05
금융원가,0.79,4.51,4.23,0.85,1.13
이자비용,0.79,4.51,4.23,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.85,1.13
기타수익,21.55,27.81,24.80,6.41,6.32
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,4.71,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.73,1.61,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,14.54,25.44,24.36,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.57,0.75,0.44,6.41,6.32
기타비용,3.59,10.43,10.38,1.66,1.90
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.28,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.59,10.43,10.10,1.66,1.90
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,34.48,14.01,7.57,2.07,1.53
법인세비용,7.90,2.72,1.37,0.38,0.27
계속영업이익,26.57,11.29,6.20,1.69,1.27
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,26.57,11.29,6.20,1.69,1.27
