IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"6,498.80","6,372.74","6,766.63","1,524.11","1,763.67"
매출원가,"5,402.95","5,371.17","5,647.84","1,274.07","1,461.65"
매출총이익,"1,095.85","1,001.58","1,118.79",250.05,302.02
판매비와관리비,680.84,810.53,944.27,246.69,218.99
인건비,362.37,423.56,529.71,136.45,118.09
유무형자산상각비,54.28,49.75,78.04,20.60,14.37
연구개발비,27.53,34.13,30.19,7.43,8.11
광고선전비,37.21,77.93,70.28,22.34,15.55
판매비,3.85,63.08,47.62,11.05,11.82
관리비,126.15,120.00,140.10,37.92,39.13
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,69.45,42.08,48.33,10.91,11.93
영업이익,415.01,191.05,174.52,3.36,83.03
영업이익(발표기준),330.00,168.71,381.19,31.39,88.27
금융수익,102.31,186.84,400.56,27.33,52.90
이자수익,42.20,60.00,53.96,12.98,13.64
배당금수익,4.12,15.19,26.60,0.75,1.38
외환이익,10.57,30.08,28.08,3.67,12.94
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,7.31,0.73,119.02,0.0,0.0
금융자산평가이익,28.10,38.04,103.34,2.48,2.67
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,10.01,34.43,69.55,7.45,22.28
기타금융수익,0.0,8.37,0.0,0.0,0.0
금융원가,227.16,232.78,359.58,48.20,68.19
이자비용,116.04,130.76,164.10,37.36,42.97
외환손실,22.68,39.96,61.67,10.74,18.17
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,21.80,1.12,2.02,0.0,0.0
금융자산평가손실,36.68,34.75,122.43,0.10,0.04
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,28.58,26.20,9.36,0.0,7.00
기타금융원가,1.39,0.0,0.0,0.0,0.0
기타수익,102.14,13.17,293.71,55.19,55.66
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.70,23.65,71.18,0.59,47.56
자산평가이익,0.0,0.63,2.16,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,10.00,0.0,0.0,0.0,0.0
기타,90.43,-11.11,220.37,54.60,8.10
기타비용,28.34,77.52,85.09,6.48,27.94
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.31,27.37,6.29,0.00,0.07
자산평가손실,0.0,3.04,3.00,0.0,0.0
자산손상차손,12.01,21.03,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,16.02,26.08,75.80,6.48,27.87
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,363.96,80.76,424.13,31.20,95.47
법인세비용,233.73,20.27,90.18,20.32,10.69
계속영업이익,130.24,60.49,333.95,10.88,84.78
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,130.24,60.49,333.95,10.88,84.78
지배주주순이익,-60.86,-37.16,245.68,3.73,49.73
비지배주주순이익,191.10,97.65,88.27,7.15,35.05
