IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,954.50","7,251.18","7,909.68","1,923.99","1,947.63"
매출원가,"5,532.36","6,740.61","7,339.60","1,782.36","1,816.23"
매출총이익,422.15,510.58,570.08,141.63,131.41
판매비와관리비,150.94,153.80,178.82,40.72,40.19
인건비,106.05,110.80,130.60,28.29,28.50
유무형자산상각비,7.35,7.14,8.89,2.25,1.99
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,6.94,2.35,-0.68,0.0,0.0
관리비,16.70,14.15,21.31,4.03,3.71
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,13.89,19.37,18.72,6.15,5.99
영업이익,271.21,356.77,391.25,100.91,91.22
영업이익(발표기준),271.21,356.77,391.25,100.91,91.22
금융수익,30.75,64.18,231.65,14.88,13.36
이자수익,29.69,53.72,59.62,14.88,13.36
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,171.84,0.0,0.0
금융자산손상차손환입,0.0,7.23,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,1.06,3.23,0.19,0.0,0.0
금융원가,21.63,20.24,20.28,2.69,1.22
이자비용,4.29,3.38,5.60,2.05,0.86
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,16.92,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,16.42,4.12,0.0,0.0
금융자산손상차손,0.42,0.01,1.93,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.44,8.63,0.64,0.36
기타수익,36.86,1.13,7.03,0.57,0.52
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.80,0.0,0.0,0.0,0.0
외환이익,0.01,0.24,0.68,0.26,0.18
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.05,0.15,0.02,0.15
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.03,0.03,0.03,0.01,0.01
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.48,4.70,0.0,0.0
충당부채환입액,35.23,0.0,0.0,0.0,0.0
기타,0.80,0.34,1.47,0.28,0.17
기타비용,23.83,11.83,15.95,9.32,14.11
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.04,0.48,0.64,0.04,0.13
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.00,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,2.65,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,21.14,11.35,15.31,9.28,13.98
"종속기업,공동지배기업및관계기업관련손익",-1.49,-2.41,-0.28,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-1.49,-2.41,-0.28,0.0,0.0
세전계속사업이익,291.88,387.59,593.43,104.34,89.75
법인세비용,72.54,87.65,157.99,18.74,17.44
계속영업이익,219.34,299.95,435.44,85.60,72.31
중단영업이익,-1.34,0.61,0.0,0.0,0.0
당기순이익,218.00,300.56,435.44,85.60,72.31
지배주주순이익,218.36,300.92,435.73,85.66,72.38
비지배주주순이익,-0.36,-0.36,-0.29,-0.07,-0.07
