IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,518.36,345.87,358.22,88.19,74.88
매출원가,519.42,315.91,298.23,71.46,67.47
매출총이익,-1.06,29.96,60.00,16.74,7.41
판매비와관리비,76.21,67.53,82.30,18.60,17.44
인건비,42.30,33.85,40.85,10.01,7.88
유무형자산상각비,5.37,5.06,4.36,0.85,1.27
연구개발비,10.27,10.37,13.12,1.86,2.89
광고선전비,0.00,0.0,0.0,0.0,0.0
판매비,1.25,1.08,1.26,-0.02,0.19
관리비,17.01,17.13,22.72,5.90,5.21
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.01,0.03,0.00,0.00,0.00
영업이익,-77.27,-37.57,-22.30,-1.87,-10.04
영업이익(발표기준),-77.27,-37.57,-22.30,-1.87,-10.04
금융수익,34.88,11.20,98.50,8.44,5.86
이자수익,3.66,5.70,3.68,0.71,1.32
배당금수익,3.80,0.0,0.0,0.0,0.0
외환이익,3.92,1.31,5.40,0.14,3.34
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.11,0.26,4.36,0.14,0.21
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,23.39,3.93,50.06,0.0,0.98
기타금융수익,0.0,0.0,35.00,7.46,0.0
금융원가,32.90,64.00,41.43,38.85,10.88
이자비용,25.13,37.44,38.20,6.25,9.36
외환손실,0.19,1.17,0.42,0.95,1.47
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.03,1.38,1.57,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,7.57,25.36,1.44,0.0,0.05
기타금융원가,0.0,0.0,0.0,30.07,0.0
기타수익,39.39,23.44,69.31,5.89,8.67
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,30.02,19.42,19.34,4.69,8.36
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.99,0.20,18.70,0.51,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.38,3.82,31.28,0.69,0.32
기타비용,59.30,68.52,74.80,12.30,10.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,21.29,19.89,18.69,11.65,9.69
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,15.38,0.05,0.01,0.03,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,17.63,35.38,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,5.00,13.19,56.10,0.62,0.33
"종속기업,공동지배기업및관계기업관련손익",-17.78,-12.52,0.0,0.0,0.0
지분법손익,-17.78,-12.52,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-112.98,-147.96,29.28,-38.69,-16.41
법인세비용,-9.34,-2.47,56.71,2.77,-3.38
계속영업이익,-103.64,-145.49,-27.44,-41.46,-13.02
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-103.64,-145.49,-27.44,-41.46,-13.02
지배주주순이익,-103.64,-145.49,-27.44,-41.46,-13.02
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
