IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
순이자손익,1.92,5.43,20.56,3.40,4.80
순수수료손익,166.53,277.62,228.44,53.24,52.80
금융상품관련손익,55.41,29.14,120.46,-1.17,105.87
위험회피회계파생상품관련손익,23.92,2.27,0.0,0.0,0.0
외환거래(환율변동)손익,0.0,0.0,0.0,0.0,0.0
금융자산관련손익,-47.36,73.94,-134.28,-2.23,-55.99
기타영업손익,4.88,-54.68,17.95,-4.47,-0.59
순영업수익,205.29,333.72,253.13,48.76,106.89
판매비와관리비,156.84,156.43,169.27,41.05,44.06
영업이익,48.45,177.29,83.85,7.72,62.83
영업외수익,0.41,1.91,1.50,0.10,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익",0.0,0.0,0.0,0.0,0.0
자산처분이익,0.16,0.0,0.0,0.0,0.0
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,0.0,0.0,0.0,0.0,0.0
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,0.25,1.91,1.50,0.10,0.00
영업외비용,3.61,1.71,1.84,2.00,1.51
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",0.0,0.0,0.0,0.0,0.0
자산처분손실,0.02,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.30,0.0,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,3.20,1.23,1.84,2.00,1.50
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,0.39,0.18,0.01,0.00,0.01
세전계속사업이익,45.25,177.49,83.51,5.81,61.32
법인세비용,24.86,11.47,0.33,-0.11,11.26
계속영업이익,20.39,166.02,83.19,5.92,50.06
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,20.39,166.02,83.19,5.92,50.06
지배주주지분당기순이익,20.39,166.02,83.19,5.92,50.06
비지배주주지분당기순이익,0.0,0.0,0.0,0.0,0.0
