IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"6,847.83","7,120.27","7,920.89","1,990.79","1,970.78"
매출원가,"5,848.21","6,357.61","6,878.45","1,724.98","1,636.27"
매출총이익,999.62,762.66,"1,042.44",265.81,334.51
판매비와관리비,785.15,627.63,849.24,224.11,211.54
인건비,120.92,141.16,172.61,43.84,43.92
유무형자산상각비,13.96,16.20,8.44,2.73,1.98
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,5.92,3.78,3.68,0.70,0.71
판매비,509.08,303.97,437.24,131.03,88.94
관리비,108.02,135.93,166.99,35.27,38.18
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,27.25,26.59,60.29,10.55,37.82
영업이익,214.47,135.02,193.20,41.70,122.96
영업이익(발표기준),214.47,135.02,193.20,41.70,122.96
금융수익,7.13,9.31,12.29,0.84,3.97
이자수익,7.13,8.97,11.94,0.50,3.63
배당금수익,0.0,0.34,0.34,0.34,0.34
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,41.46,97.81,106.74,24.95,27.65
이자비용,41.46,98.14,106.74,24.95,27.65
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,-0.32,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,289.24,196.33,185.00,61.42,47.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,267.77,176.99,162.00,56.18,41.64
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,6.08,3.36,1.03,0.97,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.86,1.33,2.24,0.56,0.55
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,14.53,14.63,19.73,3.71,4.81
기타비용,304.12,"1,121.06",234.64,53.90,66.63
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,299.35,191.26,229.96,52.59,64.06
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.86,1.56,1.22,0.27,1.22
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.32,926.82,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.46,-0.12,0.75,0.33,0.05
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.13,1.55,2.70,0.71,1.29
"종속기업,공동지배기업및관계기업관련손익",2.72,2.82,2.35,0.43,1.02
지분법손익,2.72,2.82,2.35,0.43,1.02
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,167.97,-875.40,51.44,25.54,80.68
법인세비용,29.71,-209.10,10.47,-5.39,24.27
계속영업이익,138.26,-666.30,40.97,30.93,56.41
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,138.26,-666.30,40.97,30.93,56.41
지배주주순이익,130.30,-666.30,40.97,30.93,56.41
비지배주주순이익,1.07,0.0,0.0,0.0,0.0
