IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"100,543.45","106,249.18","99,665.51","20,979.55","23,847.35"
매출원가,"89,734.19","91,741.56","84,573.77","18,039.80","20,478.40"
매출총이익,"10,809.26","14,507.62","15,091.75","2,939.75","3,368.95"
판매비와관리비,"3,779.83","4,576.33","5,375.63","1,366.71","1,275.46"
인건비,"2,507.09","3,083.14","3,576.53",878.05,862.43
유무형자산상각비,233.88,304.30,373.42,98.42,92.47
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,34.82,38.77,17.34,-7.03,2.89
관리비,856.70,"1,000.40","1,165.79",329.71,275.51
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,147.34,149.72,242.54,67.57,42.16
영업이익,"7,029.43","9,931.29","9,716.12","1,573.04","2,093.50"
영업이익(발표기준),"7,029.43","9,931.29","9,716.12","1,573.04","2,093.50"
금융수익,979.76,"1,509.94","2,786.46",588.25,377.24
이자수익,214.00,625.51,585.04,208.81,117.54
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,765.77,884.43,"2,201.41",379.44,259.71
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,936.01,"2,140.55","1,161.81",318.94,235.24
이자비용,146.47,228.77,140.93,8.16,52.16
외환손실,789.54,"1,911.78","1,020.87",310.78,183.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,"4,479.73","2,570.12","2,350.23",579.52,529.44
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,33.52,30.09,34.62,32.69,29.40
외환이익,"2,758.79","1,573.24","1,537.70",318.10,325.39
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,10.87,22.16,75.83,0.62,0.14
자산처분(폐기)이익,7.58,2.54,5.34,13.72,0.39
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,"1,363.53",497.85,136.61,124.81,47.80
임대료수익,101.88,102.64,112.61,29.77,28.24
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,90.16,76.76,82.17,20.83,18.56
대손충당금환입,2.62,0.0,0.0,0.0,0.0
충당부채환입액,2.52,0.0,0.0,1.68,0.0
기타,108.25,264.83,365.34,37.30,79.52
기타비용,"4,469.30","2,547.98","4,722.46",543.43,588.69
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"2,748.99","1,396.62","1,877.69",310.08,358.08
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,4.84,4.02,145.08,0.0,0.0
자산처분(폐기)손실,225.75,238.29,193.79,14.64,85.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,540.19,279.14,746.07,53.28,90.93
기타대손상각비,6.27,0.0,0.0,0.0,0.0
충당부채전입액,724.41,520.80,"1,574.68",155.26,45.82
기타,218.85,109.11,185.14,10.17,8.86
"종속기업,공동지배기업및관계기업관련손익",73.54,3.51,69.24,167.89,18.74
지분법손익,73.54,3.51,69.24,167.89,18.74
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"7,157.15","9,326.33","9,037.77","2,046.33","2,194.98"
법인세비용,"1,203.96","2,370.25","2,651.05",474.21,553.72
계속영업이익,"5,953.19","6,956.08","6,386.72","1,572.12","1,641.26"
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"5,953.19","6,956.08","6,386.72","1,572.12","1,641.26"
지배주주순이익,"6,649.29","7,538.18","7,569.29","1,505.95","1,619.85"
비지배주주순이익,-696.10,-582.11,"-1,182.57",66.18,21.40
