IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"256,500.11","263,762.73","264,312.04","68,451.17","66,545.74"
매출원가,0.0,0.0,0.0,0.0,0.0
매출총이익,"256,500.11","263,762.73","264,312.04","68,451.17","66,545.74"
판매비와관리비,"239,599.23","247,264.99","256,217.33","61,563.46","61,480.74"
인건비,"44,958.85","45,494.09","56,220.45","11,218.35","11,009.23"
유무형자산상각비,"36,558.79","38,101.31","38,777.11","9,686.76","9,736.85"
연구개발비,0.0,0.0,0.0,614.13,510.34
광고선전비,"1,955.19","1,537.50","1,691.89",322.50,320.55
판매비,"24,692.67","25,038.67","24,096.07","5,686.86","5,663.70"
관리비,"21,698.37","22,943.68","24,405.92","6,521.25","6,079.45"
기타원가성비용,"8,158.93","7,512.69","7,146.48","1,741.44","1,846.17"
기타,"101,576.43","106,637.05","103,879.41","25,772.17","26,314.45"
영업이익,"16,900.88","16,497.74","8,094.71","6,887.71","5,065.00"
영업이익(발표기준),"16,900.88","16,497.74","8,094.71","6,887.71","5,065.00"
금융수익,"6,904.28","4,862.77","9,176.50","1,280.94","2,502.76"
이자수익,"2,719.25","2,796.07","3,035.35",662.66,777.47
배당금수익,0.0,579.72,689.30,288.03,310.46
외환이익,"1,110.68",393.51,708.34,159.34,72.40
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,34.41,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,73.82,133.58,0.0,0.0
금융자산평가이익,310.32,324.77,131.66,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,"2,336.66",621.85,"4,478.27",165.71,"1,295.44"
기타금융수익,427.37,38.62,0.0,5.20,46.99
금융원가,"7,499.08","5,686.82","9,947.81","1,243.59","2,404.92"
이자비용,"2,938.54","3,563.45","3,746.65",930.83,"1,038.24"
외환손실,"2,812.80","1,300.11","4,761.50",149.49,"1,317.84"
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,626.97,179.80,79.55,10.15,3.62
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,656.60,550.49,"1,121.54",1.38,7.60
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,459.32,70.15,144.44,133.03,0.93
기타금융원가,4.85,22.82,94.13,18.71,36.69
기타수익,"5,953.51","3,080.44","3,448.29",653.62,728.38
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,565.51,277.54,510.32,124.12,177.20
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,"5,388.00","2,802.90","2,937.97",529.50,551.18
기타비용,"3,146.07","5,079.04","5,010.55",378.10,703.72
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,907.78,801.53,"1,026.64",173.23,220.33
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,470.59,"2,440.77","2,464.95",0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,175.51,341.12,264.75,44.52,99.05
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,"1,592.19","1,495.62","1,254.21",160.35,384.34
"종속기업,공동지배기업및관계기업관련손익",-172.85,-434.24,85.87,-82.28,102.38
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-172.85,-434.24,85.87,-82.28,102.38
세전계속사업이익,"18,940.67","13,240.85","5,847.01","7,118.30","5,289.88"
법인세비용,"5,064.04","3,353.67","1,676.07","1,450.31","1,359.85"
계속영업이익,"13,876.63","9,887.18","4,170.94","5,667.99","3,930.03"
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"13,876.63","9,887.18","4,170.94","5,667.99","3,930.03"
지배주주순이익,"12,624.98","10,098.61","4,702.86","5,398.39","3,755.30"
비지배주주순이익,"1,251.65",-211.43,-531.92,269.60,174.73
