IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"25,443.86","21,450.68","28,894.73","7,643.65","6,899.14"
매출원가,"24,248.67","20,522.67","27,757.60","7,348.72","6,591.35"
매출총이익,"1,195.19",928.01,"1,137.14",294.92,307.79
판매비와관리비,407.55,392.59,463.43,99.54,92.86
인건비,265.56,239.35,285.82,58.16,55.81
유무형자산상각비,22.03,19.75,24.15,5.89,5.73
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,5.67,2.54,0.16,0.04,0.03
판매비,9.16,12.88,13.83,3.79,3.38
관리비,80.98,97.41,110.67,24.14,22.68
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,24.15,20.65,28.81,7.52,5.24
영업이익,787.65,535.43,673.70,195.38,214.93
영업이익(발표기준),787.65,535.43,673.70,195.38,214.93
금융수익,1.17,3.61,15.21,0.32,2.05
이자수익,0.62,1.27,9.00,0.31,0.94
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,2.37,0.0,0.0
금융자산평가이익,0.55,2.34,3.84,0.00,1.11
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,71.06,96.44,137.62,41.44,27.10
이자비용,60.75,89.20,109.07,33.68,21.88
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,9.36,5.00,27.01,6.71,4.44
금융자산평가손실,0.94,2.24,1.54,1.06,0.77
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,586.69,239.31,273.71,110.12,81.86
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,387.50,144.20,222.41,45.67,68.57
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,0.84,0.0,0.15,0.0
자산평가이익,28.80,29.05,10.49,0.0,0.0
자산손상차손환입,0.40,0.0,0.0,0.0,0.0
파생상품이익,161.52,63.11,37.97,62.98,12.41
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,8.39,2.11,2.84,1.31,0.88
기타비용,539.36,279.74,336.56,121.69,70.88
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,211.67,109.32,76.28,43.42,12.79
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,6.25,1.49,0.08,0.12,0.0
자산평가손실,0.0,2.80,0.94,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,315.35,163.52,257.69,77.73,57.39
기타대손상각비,1.30,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.79,2.61,1.57,0.42,0.70
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,765.09,402.17,488.45,142.69,200.86
법인세비용,187.19,72.76,-55.17,23.60,41.25
계속영업이익,577.90,329.42,543.62,119.09,159.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,577.90,329.42,543.62,119.09,159.61
지배주주순이익,577.90,329.42,543.62,119.09,159.61
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
