IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,725.59,527.84,448.10,108.80,96.65
매출원가,549.70,425.97,383.41,90.30,79.40
매출총이익,175.89,101.87,64.69,18.50,17.26
판매비와관리비,113.07,94.77,109.98,24.74,32.98
인건비,39.06,36.96,38.61,10.01,10.14
유무형자산상각비,6.74,7.00,6.75,1.85,1.64
연구개발비,14.04,26.85,34.18,8.08,8.41
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,40.10,4.56,11.11,0.48,0.01
관리비,13.13,19.40,19.33,4.32,12.77
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,62.81,7.10,-45.28,-6.24,-15.72
영업이익(발표기준),62.81,7.10,-45.28,-6.24,-15.72
금융수익,38.81,19.92,30.09,1.48,7.22
이자수익,1.82,5.24,3.64,0.58,0.38
배당금수익,0.10,0.08,0.08,0.0,0.0
외환이익,36.90,14.60,26.37,0.90,6.85
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.01,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,11.03,15.71,6.13,2.23,1.06
이자비용,1.90,1.39,1.40,0.53,0.31
외환손실,9.13,14.32,4.73,1.70,0.75
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.01,0.00,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.34,0.09,0.00,0.05,0.00
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.34,0.09,0.00,0.05,0.00
기타비용,9.38,0.01,0.01,0.73,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,6.97,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.42,0.01,0.01,0.73,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,81.55,11.39,-21.33,-7.67,-9.56
법인세비용,-0.92,0.77,0.73,0.0,0.0
계속영업이익,82.47,10.62,-22.06,-7.67,-9.56
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,82.47,10.62,-22.06,-7.67,-9.56
