IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,733.73,610.85,599.01,95.66,101.59
매출원가,505.05,559.77,535.19,75.13,84.87
매출총이익,228.68,51.08,63.82,20.54,16.72
판매비와관리비,65.84,65.26,77.57,13.71,16.89
인건비,29.03,25.53,25.09,5.28,6.16
유무형자산상각비,14.74,13.66,13.95,3.51,3.29
연구개발비,4.90,4.04,4.32,1.00,0.95
광고선전비,0.28,0.16,0.10,0.0,0.10
판매비,-0.04,0.03,2.70,0.49,0.01
관리비,16.93,21.84,31.41,3.43,6.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,162.84,-14.19,-13.75,6.82,-0.17
영업이익(발표기준),162.84,-14.19,-13.75,6.82,-0.17
금융수익,22.76,3.94,35.14,1.20,0.48
이자수익,2.63,2.39,3.59,1.14,0.36
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,4.89,0.78,3.36,0.06,0.00
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.07,0.16,0.05,0.00,0.01
금융자산평가이익,0.12,0.16,0.08,0.0,0.11
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,15.00,0.0,26.25,0.0,0.0
기타금융수익,0.05,0.45,1.80,0.0,0.0
금융원가,19.81,61.21,30.43,5.04,3.39
이자비용,17.06,16.56,17.24,4.80,3.36
외환손실,2.75,0.46,1.24,0.12,0.01
대손상각비,0.0,32.35,4.78,0.12,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.00,0.09,0.0,0.0,0.03
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,11.76,1.17,0.0,0.0
기타금융원가,0.0,0.0,6.00,0.0,0.0
기타수익,5.36,1.32,3.85,0.06,0.55
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.16,0.31,0.32,0.0,0.08
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,5.20,1.01,3.53,0.06,0.47
기타비용,12.85,21.34,16.65,0.01,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.0,0.38,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.07
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,12.81,21.34,16.27,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",-8.64,-14.58,0.20,0.0,-3.44
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-8.64,-14.58,0.20,0.0,-3.44
세전계속사업이익,149.66,-106.06,-21.64,3.03,-6.05
법인세비용,33.79,-6.37,6.33,2.26,-3.12
계속영업이익,115.87,-99.69,-27.97,0.77,-2.93
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,115.87,-99.69,-27.97,0.77,-2.93
지배주주순이익,107.24,-114.58,-34.67,-0.25,-3.55
비지배주주순이익,8.63,14.89,6.69,1.02,0.62
