IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,551.39","1,564.08","1,591.64",406.36,399.76
매출원가,"1,378.41","1,378.18","1,363.14",342.01,344.61
매출총이익,172.98,185.90,228.50,64.35,55.15
판매비와관리비,156.43,167.02,156.02,38.21,38.02
인건비,69.95,77.37,80.96,18.79,20.75
유무형자산상각비,10.85,12.37,8.81,1.85,2.33
연구개발비,1.82,1.44,1.24,0.39,0.21
광고선전비,0.08,0.0,0.0,0.0,0.0
판매비,38.22,20.33,20.57,5.69,4.48
관리비,34.77,54.91,43.89,11.30,10.08
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.74,0.60,0.54,0.19,0.17
영업이익,16.55,18.87,72.48,26.14,17.13
영업이익(발표기준),16.55,18.87,72.48,26.14,17.13
금융수익,0.55,3.90,8.16,1.44,2.35
이자수익,0.55,3.90,8.16,1.29,2.35
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.16,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,10.59,19.76,4.20,0.0,1.92
이자비용,1.82,6.62,2.82,0.0,1.86
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,8.77,13.14,1.38,0.0,0.05
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,102.25,63.98,96.21,10.20,21.91
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,98.06,57.79,92.77,9.87,22.26
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.04,0.11,0.24,0.03,0.35
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.46,0.15,0.07,0.10
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.02,0.02,0.02,0.02,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,3.23,1.38,0.55,-0.42,-1.05
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.90,4.22,2.49,0.64,0.24
기타비용,87.47,59.62,53.30,9.44,16.65
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,85.08,43.47,44.02,8.72,16.09
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.10,0.00,0.15,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.47,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.05,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.85,16.04,9.28,0.57,0.55
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,21.30,7.36,119.36,28.34,22.83
법인세비용,2.42,6.20,28.91,2.19,6.22
계속영업이익,18.88,1.16,90.45,26.15,16.61
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,18.88,1.16,90.45,26.15,16.61
지배주주순이익,18.97,1.16,90.45,26.15,16.61
비지배주주순이익,-0.09,0.0,0.0,0.0,0.0
