IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,097.91",206.96,426.69,103.08,51.85
매출원가,966.02,157.12,307.48,75.63,42.51
매출총이익,131.89,49.84,119.22,27.44,9.34
판매비와관리비,102.76,98.70,159.03,40.89,30.13
인건비,49.19,47.62,49.37,16.46,12.74
유무형자산상각비,6.24,13.68,12.62,5.29,1.15
연구개발비,10.35,9.86,40.33,5.67,6.78
광고선전비,0.00,0.00,0.52,0.08,0.00
판매비,2.04,4.33,22.74,2.18,0.37
관리비,33.47,22.60,33.18,11.20,8.75
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.48,0.61,0.28,0.01,0.34
영업이익,29.13,-48.86,-39.82,-13.45,-20.79
영업이익(발표기준),29.13,-48.86,-39.82,-13.45,-20.79
금융수익,2.66,18.56,54.04,0.45,0.47
이자수익,2.66,3.11,2.86,0.45,0.47
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.01,0.03,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,15.44,46.80,0.0,0.0
기타금융수익,0.0,0.0,4.35,0.0,0.0
금융원가,5.83,15.85,24.94,11.02,3.07
이자비용,5.55,4.79,24.94,6.92,3.07
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,11.07,0.0,0.0,0.0
기타금융원가,0.28,0.0,0.0,4.10,0.0
기타수익,29.74,10.74,28.89,1.51,6.25
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,29.32,5.05,21.50,0.78,5.77
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.05,0.0,3.18,0.12,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.37,5.69,4.21,0.61,0.49
기타비용,54.86,144.32,30.90,2.61,0.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,33.26,3.66,4.92,1.67,0.10
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.26,0.08,1.76,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,4.85,127.53,25.52,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,15.08,12.26,-1.89,0.91,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.40,0.79,0.59,0.03,0.04
"종속기업,공동지배기업및관계기업관련손익",0.0,0.34,1.28,0.0,0.0
지분법손익,0.0,0.34,1.28,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,0.84,-179.40,-11.44,-25.11,-17.28
법인세비용,1.62,20.13,0.95,0.0,0.0
계속영업이익,-0.78,-199.53,-12.39,-25.11,-17.28
중단영업이익,-3.58,-15.39,40.99,0.0,-5.47
당기순이익,-4.35,-214.93,28.60,-25.11,-22.75
지배주주순이익,-4.35,-212.59,30.93,-25.81,-21.92
비지배주주순이익,0.0,-2.34,-2.33,0.69,-0.83
