IFRS(연결),2022/06,2023/06,2024/06,2025/03,전년동기
매출액,152.59,385.28,723.35,255.17,478.21
매출원가,119.96,381.55,714.54,266.15,475.23
매출총이익,32.63,3.73,8.81,-10.98,2.98
판매비와관리비,20.10,52.86,24.21,17.51,17.42
인건비,4.83,11.05,9.49,7.69,7.23
유무형자산상각비,0.91,1.15,1.13,0.79,0.85
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,3.45,2.08,0.79,0.60,0.60
판매비,4.50,24.93,2.71,-0.29,2.69
관리비,6.42,12.97,9.40,8.14,5.53
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.68,0.70,0.58,0.51
영업이익,12.53,-49.13,-15.40,-28.49,-14.44
영업이익(발표기준),12.53,-49.13,-15.40,-28.49,-14.44
금융수익,45.03,54.98,21.12,57.14,12.39
이자수익,2.16,7.19,6.49,8.92,4.90
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.25,1.21,0.66,1.77,0.55
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.06,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,42.56,35.14,13.98,46.45,6.93
기타금융수익,0.0,11.45,0.0,0.0,0.0
금융원가,67.15,132.61,36.14,35.96,22.85
이자비용,10.08,16.91,22.51,19.05,16.59
외환손실,0.54,2.26,0.51,0.03,0.44
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.06,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,56.47,113.44,13.12,16.88,5.82
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.57,16.56,4.19,0.82,4.07
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.19,0.26,0.15,0.26
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.20,0.40,0.42,0.21,0.32
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.37,15.97,3.52,0.46,3.50
기타비용,60.63,75.00,37.47,4.40,8.85
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,16.20,29.97,34.64,0.0,6.15
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,4.18,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,44.44,45.03,2.83,0.23,2.70
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-67.66,-185.21,-63.69,-10.89,-29.68
법인세비용,-0.03,-0.63,0.63,0.0,0.0
계속영업이익,-67.62,-184.58,-64.32,-10.89,-29.68
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-67.62,-184.58,-64.32,-10.89,-29.68
지배주주순이익,-67.63,-182.75,-64.01,-10.87,-29.80
비지배주주순이익,0.01,-1.83,-0.31,-0.02,0.13
