IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
영업수익,"343,869.89","309,370.14","337,860.29","84,098.61","93,189.86"
보험료수익,"131,880.46","99,406.61","108,371.64","25,588.66","25,906.36"
재보험수익,"1,236.18","1,833.08","2,713.96",642.73,780.29
재보험금수익,0.0,0.0,0.0,0.0,0.0
이자수익,"77,486.09","84,370.19","84,609.53","20,786.63","21,123.73"
수수료수익,"18,497.70","19,518.78","20,309.86","5,349.63","4,906.66"
금융상품관련이익,"14,888.13","47,483.99","34,493.10","14,484.84","17,169.38"
배당금수익,"14,158.13","9,273.32","10,024.09","3,872.74","3,686.38"
위험회피회계파생상품관련이익,"41,128.02","22,027.12","17,506.88","3,161.52","3,153.95"
외환거래이익,"33,167.75","16,051.24","50,367.74","7,806.15","14,202.21"
대출채권평가및처분이익,0.0,0.0,24.07,5.91,0.14
기타금융자산관련이익,"2,329.25","1,996.36","2,040.30",524.14,494.21
기타영업수익,"9,098.18","7,409.45","7,399.12","1,875.66","1,766.55"
영업비용,"322,062.62","285,386.37","312,862.78","76,559.03","85,726.76"
보험계약부채(책임준비금)전입액,0.0,0.0,0.0,0.0,0.0
비상위험준비금전입액,0.0,0.0,0.0,0.0,0.0
지급보험금,"121,046.36","155,900.95","143,641.55","37,043.09","38,018.49"
보험금비용,0.0,0.0,0.0,0.0,0.0
배당금비용,0.0,0.0,0.0,0.0,0.0
환급금비용,0.0,0.0,0.0,0.0,0.0
손해조사비,0.0,0.0,0.0,0.0,0.0
재보험비용,"1,759.82","2,031.78","2,411.98",677.45,570.58
재보험료비용,0.0,0.0,0.0,0.0,0.0
사업비,"18,910.30","20,640.82","21,458.61","4,772.76","4,605.12"
신계약비상각비,0.0,0.0,0.0,0.0,0.0
재산관리비,"2,798.90","3,053.32","3,341.32",765.93,768.17
이자비용,"11,192.09","15,387.97","17,883.50","4,549.48","4,779.53"
수수료비용,0.0,0.0,0.0,0.0,0.0
금융상품관련손실,"53,352.15","13,671.87","31,494.26","13,760.74","18,081.15"
위험회피회계파생상품관련손실,"65,122.48","35,389.19","50,910.20","4,159.50","8,784.52"
외환거래손실,"18,160.42","6,569.27","7,311.34","2,692.86","2,171.79"
대출채권평가및처분손실,"4,223.00","8,233.00","7,650.26","2,184.75","2,061.35"
기타금융자산관련손실,"1,378.65","1,489.21","1,531.47","2,980.71","2,726.31"
기타영업비용,"24,118.45","23,018.99","25,228.29","2,971.76","3,159.75"
영업이익,"21,807.27","23,983.77","24,997.51","7,539.58","7,463.10"
영업외수익,"4,289.90","2,106.91","3,578.87",929.80,900.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환거래이익,0.0,0.0,0.0,0.0,0.0
상각채권추심이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
유가증권처분이익,0.0,0.0,0.0,0.0,0.0
유가증권손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련이익","1,667.92","1,783.24","3,156.26",858.31,871.69
자산처분이익,"2,342.91",3.75,189.30,2.86,1.12
자산재평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,43.23,2.77,0.0,0.11,0.0
사채상환이익,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
수입수수료,0.0,0.0,0.0,0.0,0.0
임대료,0.0,0.0,0.0,0.0,0.0
자산수증이익,0.0,0.0,0.0,0.0,0.0
보험차익,0.0,0.0,0.0,0.0,0.0
법인세환급액,0.0,0.0,0.0,0.0,0.0
전기오류수정이익,0.0,0.0,0.0,0.0,0.0
퇴직연금운용이익,0.0,0.0,0.0,0.0,0.0
보험수리적이익,0.0,0.0,0.0,0.0,0.0
기타영업외수익,235.84,317.15,233.31,68.52,27.53
영업외비용,"1,692.53",500.17,439.72,44.81,55.94
이자비용,0.0,0.0,0.0,0.0,0.0
외환거래손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
유가증권처분손실,0.0,0.0,0.0,0.0,0.0
유가증권손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업관련손실",245.54,243.50,138.98,12.57,27.76
자산처분손실,9.75,4.94,3.14,0.39,0.39
자산손상차손,29.37,16.21,31.04,0.0,0.0
자산재평가손실,0.0,0.0,0.0,0.0,0.0
사채상환손실,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
지급수수료,0.0,0.0,0.0,0.0,0.0
기부금,0.0,0.0,0.0,6.80,2.93
법인세추납액,0.0,0.0,0.0,0.0,0.0
전기오류수정손실,0.0,0.0,0.0,0.0,0.0
퇴직연금운용손실,0.0,0.0,0.0,0.0,0.0
보험수리적손실,0.0,0.0,0.0,0.0,0.0
기타영업외비용,"1,407.87",235.52,266.56,25.05,24.86
세전계속사업이익,"24,404.64","25,590.51","28,136.66","8,424.57","8,307.50"
법인세비용,"1,328.67","5,253.42","5,534.11","1,649.61","1,674.58"
계속영업이익,"23,075.97","20,337.09","22,602.55","6,774.96","6,632.92"
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"23,075.97","20,337.09","22,602.55","6,774.96","6,632.92"
지배주주순이익,"21,701.52","18,953.12","21,068.39","6,352.59","6,220.94"
비지배주주순이익,"1,374.45","1,383.97","1,534.16",422.37,411.98
