IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,351.35,334.59,370.75,85.95,94.65
매출원가,231.13,202.06,232.65,52.66,58.83
매출총이익,120.21,132.53,138.10,33.29,35.83
판매비와관리비,58.76,70.33,71.40,18.39,19.72
인건비,23.93,27.42,30.48,0.0,0.0
유무형자산상각비,8.91,9.09,9.33,0.0,0.0
연구개발비,5.49,5.53,7.56,0.0,0.0
광고선전비,4.91,4.68,2.85,0.0,0.0
판매비,-3.20,5.56,4.82,0.0,0.0
관리비,18.72,18.05,16.36,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,18.39,19.72
영업이익,61.46,62.19,66.70,14.90,16.11
영업이익(발표기준),61.46,62.19,66.70,14.90,16.11
금융수익,2.94,7.46,8.80,2.10,2.16
이자수익,2.94,7.43,8.60,0.0,0.0
배당금수익,0.0,0.03,0.20,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,2.10,2.16
금융원가,1.12,0.66,0.31,0.05,0.11
이자비용,1.12,0.66,0.31,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.05,0.11
기타수익,3.19,9.06,9.28,1.26,5.89
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.04,0.23,0.49,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.80,0.28,0.36,0.0,0.0
자산처분(폐기)이익,1.61,7.43,7.16,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.02,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.73,1.11,1.27,1.26,5.89
기타비용,9.05,18.40,5.27,1.02,0.84
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.25,0.12,0.26,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.09,10.20,3.59,0.0,0.0
자산처분(폐기)손실,0.20,2.92,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,4.70,5.26,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.36,-1.36,0.23,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.44,1.25,1.18,1.02,0.84
"종속기업,공동지배기업및관계기업관련손익",6.28,9.15,13.80,2.51,2.08
지분법손익,6.28,9.15,13.80,2.51,2.08
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,63.70,68.81,92.99,19.70,25.29
법인세비용,14.45,12.82,18.29,3.83,5.40
계속영업이익,49.25,55.99,74.69,15.87,19.89
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,49.25,55.99,74.69,15.87,19.89
지배주주순이익,48.68,55.38,77.61,15.48,20.70
비지배주주순이익,0.57,0.61,-2.92,0.39,-0.80
