IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,649.25,745.67,804.37,198.31,177.95
매출원가,548.18,640.53,691.59,168.77,157.25
매출총이익,101.08,105.14,112.78,29.54,20.70
판매비와관리비,53.79,60.68,72.33,19.70,16.55
인건비,26.45,30.33,31.88,7.62,8.21
유무형자산상각비,1.51,1.51,1.06,0.29,0.25
연구개발비,1.96,2.60,2.89,0.74,0.77
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,5.49,5.07,15.32,4.39,1.56
관리비,18.07,19.39,20.41,6.48,5.51
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.31,1.77,0.76,0.19,0.27
영업이익,47.28,44.45,40.46,9.85,4.15
영업이익(발표기준),47.28,44.45,40.46,9.85,4.15
금융수익,1.45,3.21,4.14,0.87,0.64
이자수익,1.45,3.21,4.14,0.87,0.64
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.77,5.70,4.30,0.92,1.02
이자비용,6.77,5.70,4.30,0.92,1.02
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.00,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,23.32,21.70,28.95,1.20,6.45
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,20.79,19.56,26.87,0.81,6.03
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.12,1.09,0.15,0.0,0.02
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.13,0.13,0.05,0.01,0.03
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.28,0.93,1.89,0.38,0.37
기타비용,39.14,30.15,18.46,3.14,2.64
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,38.18,29.99,18.11,1.15,2.62
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.03,0.21,0.29,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.92,0.13,0.14,1.70,0.02
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,26.14,33.52,50.79,7.86,7.59
법인세비용,1.33,9.02,13.08,2.92,2.49
계속영업이익,24.81,24.50,37.70,4.94,5.10
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,24.81,24.50,37.70,4.94,5.10
지배주주순이익,24.81,24.50,37.70,4.94,5.10
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
