IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,860.61,"1,839.41","2,627.36",502.03,649.61
매출원가,537.25,927.39,"1,269.11",253.48,325.02
매출총이익,323.36,912.02,"1,358.25",248.54,324.59
판매비와관리비,163.53,210.50,379.80,87.86,67.08
인건비,28.75,41.92,64.78,14.34,9.67
유무형자산상각비,2.40,2.35,2.86,0.83,0.63
연구개발비,15.21,8.95,5.25,1.37,1.23
광고선전비,1.59,0.61,4.21,0.09,1.56
판매비,88.43,96.50,193.36,50.05,37.28
관리비,27.14,60.17,109.35,21.17,16.70
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.0,0.00,0.0,0.0
영업이익,159.83,701.52,978.45,160.68,257.51
영업이익(발표기준),159.83,701.52,978.45,160.68,257.51
금융수익,17.62,38.03,87.85,17.09,21.79
이자수익,3.33,7.89,32.67,10.62,5.25
배당금수익,0.05,0.0,0.0,0.05,0.02
외환이익,14.24,30.11,55.15,6.42,16.52
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.04,0.02,0.0,0.0
금융원가,24.11,24.43,32.21,3.42,2.04
이자비용,0.06,0.08,0.28,0.09,0.06
외환손실,24.04,24.35,31.93,3.34,1.98
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,0.65,0.94,1.69,0.19,0.25
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.01,0.16,0.01,0.07
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.65,0.93,1.52,0.19,0.18
기타비용,1.80,6.09,18.99,0.03,0.03
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.00,0.00,0.00,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,11.65,0.0,0.0
기타,1.80,6.08,7.34,0.03,0.03
"종속기업,공동지배기업및관계기업관련손익",3.17,8.71,11.50,1.82,2.95
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,3.17,8.71,11.50,1.82,2.95
세전계속사업이익,155.37,718.69,"1,028.29",176.33,280.44
법인세비용,30.57,154.85,229.08,29.02,62.97
계속영업이익,124.80,563.84,799.21,147.31,217.47
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,124.80,563.84,799.21,147.31,217.47
