IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"58,514.06","58,626.08","59,087.92","14,911.08","12,922.61"
매출원가,"28,911.66","30,543.93","30,067.68","7,374.25","6,480.53"
매출총이익,"29,602.40","28,082.15","29,020.24","7,536.83","6,442.08"
판매비와관리비,"16,925.90","16,408.79","17,132.10","4,681.23","4,076.38"
인건비,"6,121.24","6,090.48","6,682.65","2,104.27","1,577.79"
유무형자산상각비,772.46,847.97,856.37,244.13,206.43
연구개발비,505.31,506.55,599.54,132.32,119.47
광고선전비,"3,111.78","3,073.62","3,412.29",757.36,588.67
판매비,760.68,512.05,490.99,200.94,283.92
관리비,"5,564.55","5,289.76","4,987.79","1,218.37","1,277.61"
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,89.88,88.36,102.47,23.84,22.49
영업이익,"12,676.50","11,673.36","11,888.14","2,855.60","2,365.70"
영업이익(발표기준),"12,676.50","11,673.36","11,888.14","2,855.60","2,365.70"
금융수익,"1,314.13","1,389.36","1,652.66",351.66,399.82
이자수익,367.84,746.85,"1,155.84",281.88,267.88
배당금수익,272.80,230.92,185.66,28.21,28.89
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.33,0.69,3.24,0.0
금융자산평가이익,673.49,411.26,310.47,38.33,103.05
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,875.40,678.14,916.35,165.45,129.54
이자비용,347.72,457.06,420.89,124.71,96.24
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,424.68,219.36,495.46,40.74,33.30
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,103.00,1.72,0.0,0.0,0.0
기타수익,"3,192.55","2,015.51","5,737.37",977.47,"1,437.72"
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,"2,103.55","1,595.10","4,691.39",725.94,"1,323.29"
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,398.83,118.53,782.66,5.74,51.09
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,1.91,0.0,0.0,1.43,1.13
파생상품이익,337.42,139.01,45.45,69.74,0.35
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,350.84,162.87,217.87,174.62,61.86
기타비용,"2,306.29","2,012.37","2,895.89",718.58,448.87
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,"1,053.36","1,359.42","1,054.43",594.53,242.45
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,40.14,38.75,18.20,5.00,2.83
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,246.54,140.35,753.87,3.94,0.41
파생상품손실,652.77,212.14,659.04,89.06,130.53
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,313.48,261.71,410.35,26.05,72.65
"종속기업,공동지배기업및관계기업관련손익",293.70,96.10,192.32,73.53,50.92
지분법손익,293.70,96.10,192.32,73.53,50.92
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"14,295.19","12,483.82","15,658.25","3,374.23","3,675.75"
법인세비용,"4,156.02","3,188.36","3,936.89",772.42,799.23
계속영업이익,"10,139.17","9,295.46","11,721.36","2,601.81","2,876.52"
중단영업이익,-85.90,-71.85,-71.37,-22.52,-20.39
당기순이익,"10,053.27","9,223.61","11,649.99","2,579.29","2,856.13"
지배주주순이익,"10,157.85","9,026.62","11,657.27","2,556.16","2,863.46"
비지배주주순이익,-104.58,196.99,-7.28,23.13,-7.33
