IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,876.37","9,941.99","10,721.09","2,833.05","2,647.70"
매출원가,"5,160.57","7,602.44","8,340.31","2,053.27","1,960.97"
매출총이익,715.81,"2,339.55","2,380.78",779.78,686.73
판매비와관리비,611.68,881.85,"1,020.23",207.02,202.69
인건비,253.91,363.90,457.88,99.90,102.01
유무형자산상각비,77.65,66.77,74.30,20.75,17.99
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,64.36,135.38,176.91,18.91,30.40
판매비,0.44,-2.04,-0.34,0.0,0.27
관리비,215.33,317.83,311.49,27.46,17.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,40.01,34.64
영업이익,104.13,"1,457.70","1,360.55",572.76,484.04
영업이익(발표기준),104.13,"1,457.70","1,360.55",572.76,484.04
금융수익,119.42,288.82,243.48,56.28,61.64
이자수익,119.42,288.82,243.48,56.28,61.64
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,669.47,705.91,728.79,160.17,190.77
이자비용,669.47,705.91,728.79,160.17,190.77
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,"1,031.66",341.33,468.10,107.55,131.60
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.26,0.57,0.54,0.43
외환이익,80.68,131.41,112.13,37.00,28.68
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,750.60,74.43,34.59,12.82,4.57
자산평가이익,3.76,4.60,23.56,10.41,14.44
자산손상차손환입,0.0,1.13,0.0,0.0,0.0
파생상품이익,101.91,0.0,90.30,0.0,39.77
임대료수익,7.97,4.34,4.93,0.72,1.04
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,86.75,125.16,202.03,46.07,42.68
기타비용,284.40,466.94,335.22,80.44,76.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,100.23,97.75,185.50,31.78,57.94
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.93,4.21,7.64,0.08,0.0
자산평가손실,2.44,3.82,0.0,11.61,4.78
자산손상차손,9.46,136.35,30.28,0.0,0.0
파생상품손실,0.0,186.65,77.05,1.75,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,171.34,38.15,34.75,35.22,14.10
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,301.33,915.00,"1,008.13",495.98,409.70
법인세비용,143.22,113.16,-98.80,64.94,39.90
계속영업이익,158.11,801.84,"1,106.93",431.04,369.80
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,158.11,801.84,"1,106.93",431.04,369.80
지배주주순이익,253.49,625.58,755.53,311.34,259.39
비지배주주순이익,-95.37,176.26,351.40,119.70,110.42
