IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"7,284.89","7,813.37","9,436.13","3,505.34","3,162.55"
매출원가,"6,600.83","7,033.04","8,603.74","3,292.44","2,908.85"
매출총이익,684.07,780.33,832.40,212.90,253.70
판매비와관리비,603.56,615.15,638.18,174.15,162.05
인건비,222.68,222.52,232.99,66.08,58.31
유무형자산상각비,159.55,157.39,161.81,41.02,40.26
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,1.44,1.24,1.20,0.68,0.70
판매비,-0.30,1.81,3.12,1.12,0.75
관리비,224.49,231.52,238.39,65.15,61.60
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,-4.29,0.67,0.67,0.09,0.43
영업이익,80.50,165.18,194.22,38.75,91.65
영업이익(발표기준),80.50,165.18,194.22,38.75,91.65
금융수익,70.40,46.19,51.31,10.50,13.29
이자수익,21.87,46.02,50.57,10.43,12.67
배당금수익,1.82,0.01,0.60,0.06,0.60
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,46.69,0.13,0.11,0.0,0.00
금융자산평가이익,0.01,0.03,0.03,0.01,0.02
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,6.62,6.18,6.85,1.66,1.65
이자비용,6.62,6.18,6.83,1.65,1.65
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.02,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.01,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,10.23,24.55,19.01,6.15,5.38
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,0.21,0.60,0.35,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.61,1.64,0.41,0.41
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,8.37,12.33,12.05,4.04,4.02
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.76,11.40,4.72,1.35,0.95
기타비용,9.01,7.08,12.40,1.77,1.33
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.88,1.23,0.65,0.00,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,7.13,5.85,11.75,1.77,1.33
"종속기업,공동지배기업및관계기업관련손익",0.0,-1.12,-1.54,-0.54,-0.38
지분법손익,0.0,-1.12,-1.54,-0.54,-0.38
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,145.49,221.52,243.74,51.43,106.96
법인세비용,23.65,46.31,51.03,10.12,23.75
계속영업이익,121.84,175.21,192.72,41.31,83.22
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,121.84,175.21,192.72,41.31,83.22
