IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,688.80,629.74,626.94,143.75,151.38
매출원가,426.37,392.13,414.95,91.17,98.93
매출총이익,262.42,237.61,211.99,52.58,52.45
판매비와관리비,267.25,305.96,308.48,73.64,69.74
인건비,160.71,167.81,167.10,38.45,40.36
유무형자산상각비,10.40,10.53,10.08,2.39,2.91
연구개발비,13.02,21.82,15.61,2.81,4.13
광고선전비,3.96,9.26,23.12,5.83,0.46
판매비,13.81,20.79,25.65,7.10,5.64
관리비,56.64,66.54,56.90,14.51,13.91
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.72,9.21,10.01,2.54,2.33
영업이익,-4.82,-68.35,-96.49,-21.06,-17.30
영업이익(발표기준),-4.82,-68.35,-96.49,-21.06,-17.30
금융수익,2.47,2.62,4.63,0.84,1.22
이자수익,2.15,2.47,3.25,0.83,0.72
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.32,0.15,1.38,0.00,0.50
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,7.30,10.19,11.21,2.78,2.51
이자비용,6.76,9.79,11.15,2.74,2.51
외환손실,0.54,0.39,0.06,0.04,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,13.60,8.26,9.47,1.43,2.41
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.35,0.0,0.0,0.0,0.0
외환이익,1.73,0.50,1.43,0.03,0.51
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.01,0.66,0.59,0.27,0.71
자산처분(폐기)이익,7.00,2.42,2.97,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,3.18,3.26,3.20,0.76,0.81
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.14,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.33,1.41,1.13,0.37,0.36
기타비용,8.15,41.88,6.70,0.54,0.47
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.82,0.45,0.27,0.02,0.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,4.64,0.47,0.62,0.17,0.09
자산처분(폐기)손실,0.01,0.0,0.0,0.0,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,1.07,19.89,2.46,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,19.57,1.92,0.0,0.08
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.60,1.51,1.42,0.36,0.28
"종속기업,공동지배기업및관계기업관련손익",-0.05,0.20,-0.00,0.08,0.0
지분법손익,-0.05,0.20,-0.00,0.08,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-4.24,-109.34,-100.31,-22.04,-16.65
법인세비용,-9.40,1.99,1.37,0.0,0.0
계속영업이익,5.15,-111.33,-101.68,-22.04,-16.65
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,5.15,-111.33,-101.68,-22.04,-16.65
지배주주순이익,5.61,-105.14,-96.05,-20.53,-15.28
비지배주주순이익,-0.45,-6.18,-5.63,-1.51,-1.37
