IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"5,968.70","6,189.23","6,257.16","1,721.08","1,571.00"
매출원가,"5,190.94","5,289.82","5,330.66","1,466.85","1,354.34"
매출총이익,777.76,899.41,926.50,254.23,216.66
판매비와관리비,402.48,499.83,556.97,147.59,145.24
인건비,173.17,245.94,278.22,74.72,76.10
유무형자산상각비,30.84,36.88,57.34,19.20,14.00
연구개발비,29.64,24.78,15.81,0.0,0.0
광고선전비,10.85,7.08,9.71,1.86,2.47
판매비,18.19,14.71,13.82,0.12,0.21
관리비,132.99,161.64,172.43,38.18,39.11
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.79,8.80,9.63,13.50,13.35
영업이익,375.29,399.58,369.53,106.64,71.42
영업이익(발표기준),375.29,399.58,369.53,106.64,71.42
금융수익,57.56,77.98,95.24,26.01,24.78
이자수익,23.67,41.54,59.98,15.94,13.70
배당금수익,2.70,8.75,10.85,4.61,5.18
외환이익,15.51,10.89,15.70,4.75,5.45
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,11.46,6.79,3.01,0.16,0.14
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,4.21,10.02,5.70,0.56,0.30
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,42.17,74.42,36.46,5.59,6.46
이자비용,2.43,3.92,3.59,1.55,0.99
외환손실,15.84,16.70,12.60,3.68,1.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,19.44,44.65,13.88,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,4.46,9.15,6.39,0.36,4.39
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,678.74,4.81,21.77,0.89,0.57
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.18,15.96,0.00,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,678.74,4.63,5.82,0.89,0.57
기타비용,6.97,22.22,6.54,6.24,0.01
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.55,0.61,0.42,0.32,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.51,9.28,0.68,2.54,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.91,12.33,5.44,3.38,0.01
"종속기업,공동지배기업및관계기업관련손익",10.16,0.0,0.0,0.0,0.0
지분법손익,10.16,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,072.60",385.73,443.55,121.71,90.30
법인세비용,232.03,81.32,105.07,27.77,21.35
계속영업이익,840.57,304.41,338.48,93.94,68.95
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,840.57,304.41,338.48,93.94,68.95
지배주주순이익,838.79,304.41,338.48,93.94,68.95
비지배주주순이익,1.78,0.0,0.0,0.0,0.0
