IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,646.97","1,250.30","1,209.30",314.22,295.98
매출원가,"1,398.84","1,163.09","1,126.63",274.42,280.12
매출총이익,248.13,87.21,82.67,39.80,15.86
판매비와관리비,135.22,134.32,131.44,30.45,31.31
인건비,75.99,73.89,69.48,18.01,17.87
유무형자산상각비,4.02,4.14,3.99,1.06,0.97
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,5.95,5.33,4.33,1.14,1.07
관리비,19.81,19.77,14.76,3.55,4.24
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,29.45,31.20,38.89,6.69,7.16
영업이익,112.91,-47.12,-48.77,9.35,-15.45
영업이익(발표기준),112.91,-47.12,-48.77,9.35,-15.45
금융수익,41.66,45.60,53.62,7.25,15.82
이자수익,6.30,8.35,8.16,2.17,1.79
배당금수익,2.61,3.56,4.30,0.01,0.01
외환이익,31.54,20.38,23.89,3.88,5.62
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,1.02,6.91,12.85,0.17,1.49
금융자산평가이익,0.18,6.40,4.43,1.01,6.91
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,41.12,22.10,23.19,6.10,4.66
이자비용,0.83,2.82,5.87,1.39,1.32
외환손실,30.73,15.12,15.68,3.05,2.97
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,2.86,4.16,1.64,0.91,0.35
금융자산평가손실,6.70,0.0,0.0,0.75,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.00,1.22,5.34,0.22,0.01
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.18,0.13,0.20,0.18,0.03
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.16,0.03,0.02,0.00,0.00
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.13,0.0,4.80,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.52,1.05,0.33,0.04,-0.02
기타비용,2.26,23.85,51.46,0.27,0.07
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.00,0.03,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,3.88,50.05,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.14,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.12,19.97,1.39,0.27,0.07
"종속기업,공동지배기업및관계기업관련손익",-0.43,2.80,6.95,1.54,0.92
지분법손익,-0.43,2.80,6.95,1.54,0.92
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,113.76,-43.45,-57.50,11.99,-3.44
법인세비용,20.17,-19.72,0.73,2.79,0.02
계속영업이익,93.59,-23.73,-58.23,9.20,-3.46
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,93.59,-23.73,-58.23,9.20,-3.46
지배주주순이익,93.59,-23.73,-58.23,9.20,-3.46
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
