IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,134.19,145.24,151.63,38.18,35.96
매출원가,107.93,122.55,124.09,31.43,29.06
매출총이익,26.26,22.69,27.54,6.76,6.91
판매비와관리비,37.01,22.54,24.36,6.45,6.95
인건비,15.72,15.33,15.11,3.90,4.04
유무형자산상각비,0.98,1.05,0.23,0.06,0.06
연구개발비,0.01,0.01,0.01,0.00,0.01
광고선전비,0.15,0.0,0.15,0.06,0.0
판매비,0.22,-0.00,0.27,0.05,0.04
관리비,19.94,6.15,8.58,2.38,2.80
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-10.75,0.14,3.18,0.31,-0.04
영업이익(발표기준),-10.75,0.14,3.18,0.31,-0.04
금융수익,35.05,15.24,30.04,13.07,5.96
이자수익,23.19,6.70,9.83,11.24,3.00
배당금수익,0.0,3.66,0.0,0.0,0.0
외환이익,2.75,2.46,12.07,0.27,2.96
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,1.97,2.41,8.14,1.56,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,7.13,0.0,0.0,0.0,0.0
금융원가,23.41,3.40,5.18,0.16,0.22
이자비용,10.05,0.02,0.02,0.00,0.01
외환손실,0.71,2.29,4.46,0.16,0.00
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.60,1.08,0.70,0.0,0.22
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,12.06,0.0,0.0,0.0,0.0
기타수익,55.63,85.66,50.34,4.87,20.75
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.05,0.0,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,55.60,85.61,50.34,4.87,20.75
기타비용,15.39,15.61,50.55,0.00,0.27
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,0.22,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,15.33,0.23,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,15.36,0.06,50.31,0.00,0.27
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,41.13,82.03,27.83,18.08,26.18
법인세비용,-0.65,0.0,-27.29,0.0,0.0
계속영업이익,41.78,82.03,55.13,18.08,26.18
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,41.78,82.03,55.13,18.08,26.18
