IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,532.29","2,321.12","2,181.61",605.12,551.87
매출원가,"2,036.23","1,957.46","1,928.42",509.63,468.21
매출총이익,496.06,363.66,253.18,95.49,83.66
판매비와관리비,205.70,189.77,153.44,47.72,38.06
인건비,84.50,88.88,93.91,22.99,20.65
유무형자산상각비,6.63,8.03,7.85,1.98,1.95
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,49.54,45.10,0.54,12.10,4.49
관리비,37.53,30.43,30.43,5.33,6.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,27.49,17.33,20.71,5.32,4.52
영업이익,290.37,173.88,99.74,47.77,45.60
영업이익(발표기준),290.37,173.88,99.74,47.77,45.60
금융수익,12.46,23.17,17.50,1.79,4.69
이자수익,11.86,22.81,17.50,1.59,4.69
배당금수익,0.01,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.60,0.36,0.0,0.20,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,37.78,4.26,6.38,0.79,0.98
이자비용,4.54,4.26,3.63,0.79,0.98
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,33.24,0.0,2.75,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,43.51,48.13,73.92,7.08,26.37
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,38.65,18.52,60.26,3.52,22.15
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.16,6.00,4.27,0.0,0.58
자산평가이익,0.0,16.04,2.08,3.18,2.36
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.93,0.80,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.70,6.63,6.51,0.38,1.28
기타비용,67.27,17.59,4.14,1.68,0.93
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,26.86,10.07,2.01,1.51,0.77
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,9.86,6.50,1.39,0.0,0.0
자산평가손실,20.33,0.0,0.09,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,9.07,0.0,0.0,0.02,0.11
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.15,1.02,0.64,0.16,0.05
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,241.28,223.32,180.64,54.17,74.75
법인세비용,45.39,41.02,25.59,12.87,14.42
계속영업이익,195.89,182.30,155.05,41.30,60.33
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,195.89,182.30,155.05,41.30,60.33
지배주주순이익,195.89,182.30,155.33,41.39,60.33
비지배주주순이익,0.0,0.0,-0.29,-0.10,0.0
