IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"6,994.12","4,167.39","4,004.83",752.59,"1,220.63"
매출원가,"6,195.40","4,166.98","3,873.97",776.94,"1,154.65"
매출총이익,798.72,0.41,130.86,-24.35,65.98
판매비와관리비,169.90,133.17,131.17,35.79,41.36
인건비,73.72,58.01,58.16,0.0,0.0
유무형자산상각비,10.11,9.43,9.42,0.0,0.0
연구개발비,21.21,22.72,24.72,0.0,0.0
광고선전비,0.06,0.06,0.25,0.0,0.0
판매비,10.78,2.01,1.33,0.0,0.0
관리비,52.53,39.20,35.03,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.48,1.75,2.28,35.79,41.36
영업이익,628.81,-132.76,-0.31,-60.14,24.63
영업이익(발표기준),628.81,-132.76,-0.31,-60.14,24.63
금융수익,30.91,36.30,28.32,5.68,9.42
이자수익,30.91,36.30,28.32,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,5.68,9.42
금융원가,46.43,42.00,39.69,9.99,9.73
이자비용,46.43,42.00,39.69,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,9.99,9.73
기타수익,241.17,56.45,98.38,17.47,35.34
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,181.86,38.98,66.37,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.64,13.31,23.02,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.77,0.79,0.80,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.71,0.0,0.0
대손충당금환입,2.85,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,55.05,3.38,7.47,17.47,35.34
기타비용,140.57,37.41,59.69,16.31,19.44
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,138.34,35.72,43.00,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.10,0.49,0.17,0.0,0.0
자산처분(폐기)손실,0.79,0.09,1.47,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.27,0.0,0.88,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.01,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.06,1.11,14.17,16.31,19.44
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,713.89,-119.42,27.00,-63.28,40.22
법인세비용,259.44,-8.42,-57.19,-4.71,-135.38
계속영업이익,454.45,-111.00,84.20,-58.57,175.60
중단영업이익,0.0,-29.43,120.39,0.0,0.0
당기순이익,454.45,-140.44,204.59,-58.57,175.60
지배주주순이익,428.98,-129.14,213.35,-58.27,179.03
비지배주주순이익,25.47,-11.30,-8.76,-0.30,-3.43
