IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,890.66,"1,387.02","1,127.13",217.15,318.42
매출원가,635.87,"1,023.65",803.49,145.46,213.98
매출총이익,254.79,363.37,323.64,71.69,104.44
판매비와관리비,135.09,155.27,171.62,52.60,32.17
인건비,100.80,113.03,119.02,40.09,21.81
유무형자산상각비,6.83,6.78,7.50,2.32,1.74
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.01,0.11,0.01,0.0,0.0
판매비,5.50,12.70,8.91,2.16,2.19
관리비,21.86,22.58,36.08,8.00,6.41
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.08,0.07,0.10,0.02,0.02
영업이익,119.70,208.10,152.03,19.09,72.27
영업이익(발표기준),119.70,208.10,152.03,19.09,72.27
금융수익,93.54,136.72,95.61,35.24,36.34
이자수익,10.00,14.12,13.00,3.19,3.93
배당금수익,67.11,109.98,65.46,31.40,27.21
외환이익,5.84,5.41,9.39,0.66,3.80
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,9.99,2.79,7.76,0.0,0.0
금융자산평가이익,0.60,4.42,0.0,0.0,1.40
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,21.26,2.16,4.76,4.93,0.35
이자비용,0.13,0.35,2.06,4.54,0.09
외환손실,7.73,1.80,2.71,0.39,0.26
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,1.29,0.0,0.0,0.0,0.0
금융자산평가손실,12.10,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,3.10,2.08,1.58,1.07,0.14
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.64,1.53,1.06,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.46,0.54,0.52,1.07,0.14
기타비용,0.01,0.00,1.78,0.40,0.0
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.00,0.09,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,1.68,0.40,0.0
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,195.06,344.74,242.69,50.06,108.39
법인세비용,39.97,52.59,50.70,23.58,21.05
계속영업이익,155.10,292.14,191.99,26.48,87.34
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,155.10,292.14,191.99,26.48,87.34
