IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,559.99","1,180.32","1,171.62",232.59,295.50
매출원가,"1,370.80","1,193.47","1,035.53",201.85,227.60
매출총이익,189.19,-13.16,136.09,30.74,67.91
판매비와관리비,239.99,270.35,259.44,52.90,55.56
인건비,102.69,103.77,102.72,25.86,25.92
유무형자산상각비,15.86,14.57,13.36,0.96,3.61
연구개발비,53.41,47.23,46.60,9.40,11.56
광고선전비,3.37,3.05,3.45,0.10,0.88
판매비,21.93,43.88,40.56,1.97,2.42
관리비,42.71,57.86,52.77,14.61,11.17
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-50.80,-283.51,-123.36,-22.16,12.35
영업이익(발표기준),-50.80,-283.51,-123.36,-22.16,12.35
금융수익,28.37,16.33,16.11,6.88,3.45
이자수익,0.19,0.07,0.26,0.14,0.02
배당금수익,0.32,0.25,0.15,0.0,0.0
외환이익,27.84,15.87,15.35,6.75,3.42
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.02,0.14,0.36,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,28.37,24.47,44.76,10.73,8.70
이자비용,4.98,8.45,13.61,3.84,2.31
외환손실,22.26,14.97,25.92,6.89,6.13
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.25
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,1.13,1.06,5.24,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.67,1.76,1.83,1.01,0.57
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.09,0.15,0.08,0.0,0.03
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.03,0.59,0.0,0.0
충당부채환입액,0.0,0.28,0.0,0.0,0.0
기타,1.57,1.31,1.17,1.01,0.54
기타비용,3.57,14.08,12.54,1.45,1.88
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.0,0.01,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,10.68,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,9.42,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,3.57,4.66,1.85,1.45,1.88
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,-0.03,0.0,0.0
지분법손익,0.0,0.0,-0.03,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-52.70,-303.97,-162.75,-26.44,5.79
법인세비용,-0.41,25.86,5.21,0.29,0.91
계속영업이익,-52.29,-329.84,-167.96,-26.74,4.88
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-52.29,-329.84,-167.96,-26.74,4.88
지배주주순이익,-53.44,-333.10,-168.13,-27.99,4.26
비지배주주순이익,1.15,3.27,0.16,1.25,0.62
