IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"7,058.03","6,785.99","9,996.11","2,003.31","1,899.98"
매출원가,"6,879.33","6,399.87","9,401.53","1,865.64","1,775.10"
매출총이익,178.70,386.13,594.58,137.68,124.88
판매비와관리비,228.56,262.98,321.62,57.52,56.44
인건비,157.46,108.40,118.93,28.08,30.38
유무형자산상각비,5.34,6.50,10.70,2.04,2.29
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.90,0.91,1.44,0.02,0.11
판매비,-2.95,57.40,107.86,0.00,0.01
관리비,60.47,56.69,74.11,17.68,22.56
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,7.34,33.09,8.58,9.70,1.09
영업이익,-49.85,123.15,272.96,80.15,68.44
영업이익(발표기준),-49.85,123.15,272.96,80.15,68.44
금융수익,36.95,50.90,78.21,20.35,17.46
이자수익,24.58,32.30,53.14,10.17,12.33
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,12.23,15.00,24.91,10.18,5.13
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.14,3.60,0.16,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,20.94,45.72,90.10,16.95,27.44
이자비용,7.42,33.33,73.86,12.44,25.43
외환손실,13.07,9.18,14.74,4.40,1.89
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.45,3.21,1.50,0.11,0.12
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,15.04,50.89,29.29,6.99,3.96
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.82,0.48,0.41,0.17,0.06
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.22,3.90,1.16,0.0,1.16
자산평가이익,6.90,20.00,15.64,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,7.10,26.50,12.09,6.82,2.75
기타비용,30.61,131.46,91.93,11.95,4.84
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.78,1.92,0.78,0.09,0.17
자산평가손실,11.37,0.30,13.10,7.17,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,78.70,63.49,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,14.46,50.53,14.56,4.69,4.67
"종속기업,공동지배기업및관계기업관련손익",59.56,45.94,49.90,7.55,7.81
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,59.56,45.94,49.90,7.55,7.81
세전계속사업이익,10.16,93.69,248.32,86.14,65.39
법인세비용,2.82,47.36,59.02,19.30,6.66
계속영업이익,7.33,46.33,189.30,66.84,58.73
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,7.33,46.33,189.30,66.84,58.73
지배주주순이익,11.13,39.88,189.30,66.84,58.73
비지배주주순이익,-3.80,6.45,0.0,0.0,0.0
