IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"13,795.03","12,879.55","12,591.37","3,035.14","2,985.57"
매출원가,"12,592.91","11,647.83","11,331.34","2,776.94","2,697.16"
매출총이익,"1,202.11","1,231.73","1,260.03",258.20,288.41
판매비와관리비,854.56,966.80,"1,097.56",250.48,252.24
인건비,330.70,351.73,368.08,98.35,90.89
유무형자산상각비,38.94,39.03,44.76,12.54,13.71
연구개발비,71.21,85.67,114.75,30.27,23.07
광고선전비,86.72,92.03,82.22,11.63,16.88
판매비,102.53,87.37,99.38,30.20,24.38
관리비,209.90,299.72,376.75,64.85,80.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,14.57,11.26,11.61,2.65,2.91
영업이익,347.55,264.92,162.47,7.72,36.17
영업이익(발표기준),347.55,264.92,162.47,7.72,36.17
금융수익,18.95,38.88,54.87,7.74,11.05
이자수익,15.77,38.88,44.14,7.05,11.05
배당금수익,0.60,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.41,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,10.73,0.28,0.0
기타금융수익,2.58,0.0,0.0,0.0,0.0
금융원가,55.41,63.23,57.42,19.17,13.24
이자비용,52.15,62.83,56.63,19.02,12.98
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,3.26,0.40,0.79,0.15,0.26
기타수익,564.88,285.36,407.88,130.01,99.90
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,539.83,269.17,361.76,124.19,95.85
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.87,1.35,4.38,1.20,0.27
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,3.23,8.58,0.13,0.01,0.00
기타,19.94,6.25,41.61,4.62,3.78
기타비용,553.54,304.15,315.54,127.62,74.54
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,540.58,288.31,277.71,124.02,72.68
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.13,3.26,1.21,0.69,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,23.27,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.42,0.31,0.05,0.16,0.00
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,10.42,12.27,13.31,2.75,1.86
"종속기업,공동지배기업및관계기업관련손익",-1.49,-2.33,-1.03,-1.35,-0.36
지분법손익,0.0,0.0,0.0,-1.35,-0.36
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-1.49,-2.33,-1.03,0.0,0.0
세전계속사업이익,320.93,219.45,251.23,-2.66,58.97
법인세비용,68.51,29.45,163.41,3.39,14.97
계속영업이익,252.43,189.99,87.82,-6.05,44.00
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,252.43,189.99,87.82,-6.05,44.00
지배주주순이익,70.97,49.81,20.51,-2.41,12.62
비지배주주순이익,181.45,140.18,67.31,-3.64,31.38
