IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,210.67","2,286.52","2,409.61",573.08,562.57
매출원가,"1,947.66","1,992.07","2,054.08",493.19,492.70
매출총이익,263.01,294.45,355.53,79.89,69.87
판매비와관리비,161.74,220.69,202.74,55.77,52.02
인건비,87.36,80.95,83.65,0.0,0.0
유무형자산상각비,9.11,9.00,10.18,0.0,0.0
연구개발비,33.79,39.75,42.40,0.0,0.0
광고선전비,0.34,0.67,3.38,0.0,0.0
판매비,-16.91,45.94,11.57,0.0,0.0
관리비,48.06,44.31,49.37,0.0,0.0
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.00,0.06,2.18,55.77,52.02
영업이익,101.27,73.76,152.79,24.12,17.86
영업이익(발표기준),101.27,73.76,152.79,24.12,17.86
금융수익,25.93,27.92,43.17,8.34,22.41
이자수익,11.26,10.62,21.08,0.0,0.0
배당금수익,1.68,1.06,0.92,0.0,0.0
외환이익,12.99,16.24,21.16,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,8.34,22.41
금융원가,30.82,25.94,21.09,9.56,4.83
이자비용,20.05,18.49,16.59,0.0,0.0
외환손실,10.77,7.45,4.49,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,9.56,4.83
기타수익,6.65,2.75,2.18,0.16,0.16
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,1.38,0.97,1.12,0.0,0.0
자산처분(폐기)이익,0.00,0.01,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.20,0.20,0.20,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.97,0.97,0.08,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,4.10,0.60,0.77,0.16,0.16
기타비용,5.52,5.60,11.82,5.46,1.16
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.57,0.08,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.58,0.00,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.50,2.97,10.00,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.45,1.97,1.82,5.46,1.16
"종속기업,공동지배기업및관계기업관련손익",-0.33,-0.46,-0.01,-0.20,-0.01
지분법손익,-0.33,-0.46,-0.01,-0.20,-0.01
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,97.18,72.44,165.22,17.40,34.43
법인세비용,25.76,8.66,30.94,7.84,2.76
계속영업이익,71.41,63.77,134.28,9.56,31.66
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,71.41,63.77,134.28,9.56,31.66
지배주주순이익,71.55,61.76,129.16,9.58,25.29
비지배주주순이익,-0.13,2.02,5.13,-0.02,6.38
