IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,156.38","2,429.01","1,839.26",345.70,517.66
매출원가,"1,807.50","1,892.85","1,494.30",294.38,394.70
매출총이익,348.88,536.16,344.96,51.32,122.97
판매비와관리비,154.76,184.33,138.07,31.72,38.38
인건비,54.94,58.21,55.61,13.23,13.83
유무형자산상각비,5.17,4.08,5.23,1.29,1.25
연구개발비,2.46,3.84,6.38,1.29,1.13
광고선전비,0.29,0.40,0.39,0.09,0.08
판매비,38.11,60.84,28.69,5.53,9.28
관리비,52.71,54.66,39.60,8.62,12.59
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,1.08,2.30,2.17,1.66,0.22
영업이익,194.12,351.83,206.89,19.60,84.59
영업이익(발표기준),194.12,351.83,206.89,19.60,84.59
금융수익,21.26,26.21,49.44,7.04,4.46
이자수익,2.84,5.25,10.74,0.0,0.0
배당금수익,0.59,0.56,0.63,0.0,0.0
외환이익,0.60,0.12,0.03,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.53,1.48,0.41,0.0,0.0
금융자산평가이익,0.62,5.62,32.10,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,16.09,13.18,5.53,0.0,0.0
기타금융수익,0.0,0.0,0.0,7.04,4.46
금융원가,48.69,43.65,29.24,9.71,11.48
이자비용,21.35,21.93,9.06,0.0,0.0
외환손실,0.98,0.53,0.62,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.57,0.0,0.02,0.0,0.0
금융자산평가손실,7.35,2.15,4.10,0.0,0.0
금융자산손상차손,5.75,0.0,3.00,0.0,0.0
파생상품손실,12.49,19.03,12.44,0.0,0.0
기타금융원가,0.19,0.0,0.0,9.71,11.48
기타수익,11.91,8.58,5.92,0.60,0.67
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,9.18,5.45,4.36,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.41,1.55,0.40,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.31,1.58,1.16,0.60,0.67
기타비용,39.83,11.92,9.03,1.65,0.67
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,28.69,10.67,1.53,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.88,0.17,5.17,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,9.27,1.09,2.33,1.65,0.67
"종속기업,공동지배기업및관계기업관련손익",-1.92,1.59,2.06,0.40,0.01
지분법손익,-1.92,1.59,2.06,0.40,0.01
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,136.86,332.64,226.04,16.29,77.59
법인세비용,28.04,79.56,36.17,2.68,16.13
계속영업이익,108.81,253.09,189.87,13.60,61.45
중단영업이익,0.0,7.39,19.89,0.0,-0.25
당기순이익,108.81,260.48,209.76,13.60,61.20
지배주주순이익,108.06,258.82,206.67,12.78,60.71
비지배주주순이익,0.75,1.66,3.08,0.82,0.49
