IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,311.29,273.25,765.14,205.42,160.44
매출원가,273.67,236.39,647.17,173.43,139.09
매출총이익,37.62,36.86,117.98,31.99,21.35
판매비와관리비,33.09,42.48,110.05,28.58,27.97
인건비,20.61,20.82,51.63,12.52,11.86
유무형자산상각비,4.59,4.72,9.66,1.96,2.41
연구개발비,0.0,0.0,11.32,2.87,2.66
광고선전비,0.01,0.04,0.46,0.14,0.15
판매비,-2.00,0.99,4.60,2.74,2.43
관리비,9.88,15.91,32.37,8.34,8.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,4.53,-5.61,7.93,3.41,-6.61
영업이익(발표기준),4.53,-5.61,7.93,3.41,-6.61
금융수익,18.77,8.41,44.48,7.73,8.66
이자수익,9.95,8.38,18.43,4.19,4.73
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.01,0.02,12.73,3.54,3.39
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,8.80,0.0,13.32,0.0,0.54
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,45.85,13.57,32.44,7.83,1.56
이자비용,12.07,0.61,0.78,0.15,0.49
외환손실,0.04,0.01,2.77,2.97,1.01
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,20.76,12.03,28.89,4.70,0.06
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,12.98,0.74,0.0,0.0,0.0
기타금융원가,0.0,0.17,0.0,0.0,0.0
기타수익,2.91,164.40,2.40,0.14,0.17
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.18,0.0,0.01,0.02,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.22,0.11,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.20,0.0,0.12
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.73,164.40,1.97,0.01,0.05
기타비용,4.90,0.83,58.35,0.00,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.04,0.27,0.02,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.54,0.0,38.90,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.56,19.23,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,4.32,0.00,0.20,0.00,0.00
"종속기업,공동지배기업및관계기업관련손익",-45.61,-270.97,-62.63,-2.98,1.49
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",-56.03,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",16.65,0.0,0.0,0.0,0.0
기타,-6.24,-270.97,-62.63,-2.98,1.49
세전계속사업이익,-70.15,-118.17,-98.61,0.48,2.15
법인세비용,0.0,0.0,1.32,0.0,0.00
계속영업이익,-70.15,-118.17,-99.93,0.48,2.14
중단영업이익,-6.50,-8.57,0.0,0.0,0.0
당기순이익,-76.65,-126.74,-99.93,0.48,2.14
지배주주순이익,-76.65,-126.74,-67.91,-2.29,-0.10
비지배주주순이익,0.0,0.0,-32.02,2.77,2.24
