IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"7,646.21","9,369.63","8,702.50","1,803.49","2,285.12"
매출원가,"6,073.54","8,841.94","9,525.55","1,493.85","2,566.30"
매출총이익,"1,572.67",527.68,-823.04,309.64,-281.18
판매비와관리비,924.17,"1,174.86","1,325.25",278.50,310.58
인건비,518.26,632.26,714.67,161.80,178.55
유무형자산상각비,70.84,95.97,129.18,33.28,29.58
연구개발비,7.51,6.38,0.0,0.0,0.0
광고선전비,51.72,54.94,67.90,2.17,5.78
판매비,5.75,62.43,26.76,0.12,-1.23
관리비,265.19,315.40,379.84,80.18,95.76
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,4.90,7.47,6.89,0.94,2.14
영업이익,648.51,-647.17,"-2,148.29",31.14,-591.75
영업이익(발표기준),648.51,-647.17,"-2,148.29",31.14,-591.75
금융수익,55.29,100.91,68.12,2.64,43.01
이자수익,4.01,5.82,8.77,2.42,1.78
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,14.17,40.01,16.64,0.21,7.84
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,1.04,0.0,0.0
금융자산평가이익,2.45,0.0,32.39,0.0,32.34
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,34.66,55.09,7.75,0.01,1.05
기타금융수익,0.0,0.0,1.53,0.0,0.0
금융원가,95.86,236.84,104.68,29.03,69.89
이자비용,46.93,78.58,32.67,4.85,15.92
외환손실,35.15,38.41,23.35,0.32,5.95
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.01,0.0,0.0,0.0,0.0
금융자산평가손실,0.55,33.78,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,13.23,76.55,48.66,23.87,48.02
기타금융원가,0.0,9.52,0.0,0.0,0.0
기타수익,72.21,15.33,835.72,2.37,784.92
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,8.08,0.87,818.96,0.27,646.97
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.72,0.16,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,46.74,0.0,1.37,0.37,0.75
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.08,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,17.32,13.74,15.22,1.73,137.20
기타비용,47.36,43.65,384.50,5.06,5.58
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,4.99,3.12,74.89,2.85,2.16
자산평가손실,0.78,0.78,0.78,0.19,0.19
자산손상차손,1.34,0.12,2.49,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,8.46,5.07,0.0,0.0,0.0
충당부채전입액,0.00,0.22,274.90,0.0,0.03
기타,31.79,34.35,31.45,2.02,3.20
"종속기업,공동지배기업및관계기업관련손익",-0.75,-2.60,-72.03,26.31,0.0
지분법손익,-0.75,-2.60,-72.03,26.31,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,632.03,-814.02,"-1,805.68",28.37,160.70
법인세비용,209.52,-192.33,344.86,-0.55,-20.87
계속영업이익,422.51,-621.69,"-2,150.54",28.92,181.57
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,422.51,-621.69,"-2,150.54",28.92,181.57
지배주주순이익,473.66,-642.60,"-1,936.23",28.11,206.83
비지배주주순이익,-51.15,20.92,-214.31,0.81,-25.26
