IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,107.92","1,133.59","1,058.46",268.07,283.14
매출원가,837.76,887.87,854.33,208.50,218.37
매출총이익,270.16,245.72,204.13,59.58,64.77
판매비와관리비,102.90,81.95,102.92,29.78,27.35
인건비,62.33,58.46,72.68,20.24,19.27
유무형자산상각비,10.89,7.72,3.79,0.76,0.92
연구개발비,1.57,0.02,0.12,0.02,0.01
광고선전비,0.53,0.04,0.13,0.07,0.03
판매비,-0.34,-0.01,-0.03,-0.03,-0.05
관리비,27.93,15.72,26.23,8.72,7.15
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,167.26,163.77,101.21,29.80,37.43
영업이익(발표기준),167.26,163.77,101.21,29.80,37.43
금융수익,4.01,4.05,4.00,1.22,1.31
이자수익,3.84,4.05,3.94,1.22,1.31
배당금수익,0.16,0.0,0.07,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.48,1.18,1.25,0.32,0.37
이자비용,3.48,1.18,1.25,0.32,0.37
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,1.86,1.49,1.88,1.47,0.40
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.83,1.21,0.69,0.01,0.19
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.0,0.68,0.62,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.03,0.28,0.51,0.84,0.22
기타비용,3.11,0.46,6.88,0.13,1.24
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.22,0.05,0.26,0.02,0.79
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,2.73,0.13,0.90,0.08,0.38
자산처분(폐기)손실,0.01,0.04,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,5.56,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.15,0.24,0.15,0.03,0.07
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,166.53,167.69,98.96,32.04,37.53
법인세비용,33.52,34.54,22.89,5.91,6.52
계속영업이익,133.02,133.15,76.06,26.14,31.01
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,133.02,133.15,76.06,26.14,31.01
지배주주순이익,133.02,133.15,76.06,26.14,31.01
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
