IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,620.36,642.15,596.02,127.68,141.87
매출원가,493.72,499.18,483.28,99.86,115.73
매출총이익,126.65,142.97,112.74,27.83,26.14
판매비와관리비,95.03,89.53,110.98,20.47,32.68
인건비,44.75,41.73,57.67,9.26,19.14
유무형자산상각비,3.37,4.80,4.42,0.92,1.25
연구개발비,24.36,23.95,30.10,6.88,6.82
광고선전비,0.31,0.31,0.65,0.08,0.40
판매비,4.85,1.61,1.36,0.27,0.62
관리비,17.39,17.12,16.78,3.06,4.44
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,31.62,53.44,1.76,7.36,-6.53
영업이익(발표기준),31.62,53.44,1.76,7.36,-6.53
금융수익,13.09,8.68,23.37,3.39,2.59
이자수익,5.99,7.37,11.98,3.39,1.80
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,5.69,0.0,1.18,0.0,0.0
금융자산평가이익,1.41,1.31,10.21,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.79
금융원가,12.07,26.63,0.85,0.07,0.23
이자비용,0.30,0.38,0.23,0.07,0.09
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,4.13,5.10,0.55,0.0,0.0
금융자산평가손실,7.64,21.14,0.07,0.0,0.14
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,14.73,4.88,20.92,1.04,1.14
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,5.68,3.57,3.64,0.27,1.05
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.11,0.14,0.24,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.01,1.20,17.14,0.53,0.09
기타비용,6.40,2.99,10.44,0.65,6.10
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,5.61,2.54,2.09,0.43,0.59
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.01,0.18,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.78,0.45,8.17,0.22,5.51
"종속기업,공동지배기업및관계기업관련손익",-125.12,7.38,7.33,0.0,0.0
지분법손익,-125.12,7.38,7.33,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-84.15,44.75,42.08,11.07,-9.13
법인세비용,-20.52,6.51,2.60,1.22,0.17
계속영업이익,-63.64,38.24,39.48,9.85,-9.30
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-63.64,38.24,39.48,9.85,-9.30
