IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,412.86,455.01,286.44,142.80,65.62
매출원가,368.58,446.55,262.38,85.05,66.96
매출총이익,44.28,8.46,24.06,57.75,-1.34
판매비와관리비,48.76,153.07,69.68,125.97,16.53
인건비,21.55,59.90,36.36,19.94,8.62
유무형자산상각비,4.18,8.13,3.08,6.96,0.70
연구개발비,0.39,10.18,0.0,2.90,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-1.81,-5.63,-0.49,3.48,-0.04
관리비,13.00,61.48,22.06,10.66,5.59
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,11.45,19.01,8.68,82.03,1.65
영업이익,-4.48,-144.60,-45.62,-68.22,-17.87
영업이익(발표기준),-4.48,-144.60,-45.62,-68.22,-17.87
금융수익,120.31,60.13,20.96,2.28,2.35
이자수익,3.57,4.30,7.92,1.53,1.57
배당금수익,0.0,0.87,3.60,0.0,0.0
외환이익,2.07,5.57,2.39,0.69,0.77
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,9.58,22.25,1.15,0.06,0.0
금융자산평가이익,104.99,27.15,0.0,0.0,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,5.90,0.0,0.0
기타금융수익,0.09,0.0,0.0,0.0,0.0
금융원가,100.94,65.27,81.12,34.55,2.50
이자비용,8.99,20.12,34.76,20.46,2.44
외환손실,1.92,3.59,0.53,0.25,0.06
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,36.44,15.44,0.0,0.00
금융자산평가손실,55.05,5.11,8.69,13.83,0.01
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,34.94,0.0,21.71,0.0,0.0
기타금융원가,0.05,0.0,0.0,0.0,0.0
기타수익,132.00,178.79,45.27,9.51,35.36
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,15.00,0.30,0.0,0.04
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,2.88,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.84,0.46,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.17,0.43
충당부채환입액,-0.01,0.29,-0.05,0.0,0.0
기타,131.17,160.16,45.02,9.33,34.89
기타비용,75.00,152.31,203.78,0.70,0.23
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.00,0.23,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.07,4.55,0.02,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,41.81,69.12,2.00,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,32.10,1.37,0.00,0.00,0.15
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,1.01,77.04,201.76,0.69,0.08
"종속기업,공동지배기업및관계기업관련손익",-192.41,35.63,-139.37,-34.93,-14.63
지분법손익,-192.41,35.63,-139.37,-34.93,-14.63
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-120.52,-87.62,-403.65,-126.60,2.47
법인세비용,0.0,1.79,0.0,-0.11,0.0
계속영업이익,-120.52,-89.41,-403.65,-126.49,2.47
중단영업이익,0.0,0.0,0.0,-0.46,0.0
당기순이익,-120.52,-89.41,-403.65,-126.95,2.47
지배주주순이익,-116.21,50.50,-392.32,-93.15,2.99
비지배주주순이익,-4.31,-139.91,-11.33,-33.80,-0.52
