IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"2,189.09","1,939.93","2,139.75",595.35,544.93
매출원가,"1,937.26","1,738.66","1,908.72",534.84,477.46
매출총이익,251.83,201.27,231.03,60.51,67.47
판매비와관리비,138.50,143.79,137.60,32.75,33.11
인건비,50.05,49.93,49.07,11.30,11.26
유무형자산상각비,4.18,3.49,2.20,0.55,0.52
연구개발비,33.58,35.91,37.53,8.96,9.43
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,28.74,31.84,26.70,5.17,4.86
관리비,15.64,16.12,15.97,4.23,4.78
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,6.31,6.51,6.12,2.53,2.26
영업이익,113.33,57.48,93.43,27.76,34.36
영업이익(발표기준),113.33,57.48,93.43,27.76,34.36
금융수익,10.21,18.21,20.76,4.97,5.24
이자수익,10.21,18.21,20.76,4.97,5.24
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,0.02,0.04,0.08,0.03,0.01
이자비용,0.02,0.04,0.08,0.03,0.01
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,61.43,39.94,44.79,8.47,9.04
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,58.65,30.73,41.00,7.73,8.52
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.21,0.12,0.0,0.0,0.09
자산평가이익,0.0,0.07,0.01,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,5.33,0.0,0.0,0.0
기타,2.57,3.69,3.78,0.74,0.43
기타비용,72.54,30.70,49.48,6.10,13.93
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,60.61,29.39,44.26,6.10,11.17
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.37,0.84,1.28,0.00,0.17
자산평가손실,0.16,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.58,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,9.88,0.0,2.14,0.0,2.14
기타,1.53,0.46,1.22,0.00,0.46
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,112.41,84.89,109.44,35.07,34.71
법인세비용,29.44,36.46,25.49,8.11,6.16
계속영업이익,82.97,48.42,83.95,26.96,28.55
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,82.97,48.42,83.95,26.96,28.55
지배주주순이익,82.97,48.42,83.95,26.96,28.55
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
