IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,476.89","3,528.93","4,283.25",977.21,870.16
매출원가,"2,787.98","2,821.64","3,258.27",748.72,671.57
매출총이익,688.91,707.29,"1,024.99",228.49,198.59
판매비와관리비,361.64,418.93,513.54,114.27,111.32
인건비,188.56,193.30,222.55,61.53,50.42
유무형자산상각비,23.23,25.65,27.38,6.53,7.08
연구개발비,5.69,27.20,45.68,4.95,7.38
광고선전비,9.78,10.24,10.12,1.84,2.04
판매비,63.29,87.39,123.92,20.49,24.08
관리비,67.34,71.66,80.62,18.59,19.39
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,3.75,3.48,3.28,0.33,0.93
영업이익,327.28,288.36,511.44,114.22,87.27
영업이익(발표기준),327.28,288.36,511.44,114.22,87.27
금융수익,51.97,102.65,115.12,22.09,17.57
이자수익,1.90,14.01,34.51,8.27,5.43
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.90,1.88,45.10,6.71,6.01
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,58.43,15.05,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,89.98,56.35,52.66,3.35,5.04
이자비용,21.65,22.00,23.71,2.88,4.85
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,10.10,4.06,5.80,0.31,0.0
매출채권처분손실,0.0,0.0,0.01,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,6.63,13.02,6.11,0.16,0.19
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,51.61,5.05,1.44,0.0,0.0
기타금융원가,0.0,12.22,15.59,0.0,0.0
기타수익,70.83,77.63,135.13,26.94,37.33
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.01,0.01,0.02,0.01
외환이익,58.35,60.21,114.47,25.78,31.75
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.96,0.0,0.13,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.72,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,9.80,17.41,20.51,1.14,5.57
기타비용,65.91,58.86,106.24,19.79,5.66
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,53.37,43.45,23.64,16.71,3.56
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.96,0.0,0.15,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,1.45,0.03,1.11,0.0,0.39
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.00,0.0,53.54,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.02,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,10.13,15.38,27.78,3.08,1.71
"종속기업,공동지배기업및관계기업관련손익",-1.93,-1.19,-2.96,-1.67,0.08
지분법손익,-1.93,-1.19,-2.96,-1.67,0.08
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,292.25,352.23,599.83,138.44,131.55
법인세비용,97.30,128.68,184.48,42.35,36.64
계속영업이익,194.95,223.55,415.35,96.09,94.92
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,194.95,223.55,415.35,96.09,94.92
지배주주순이익,64.80,-8.11,82.93,14.96,16.08
비지배주주순이익,130.14,231.66,332.42,81.13,78.84
