IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"47,561.14","46,596.05","41,141.90","10,185.01","11,573.42"
매출원가,"37,484.92","35,360.20","31,854.45","7,663.43","8,814.93"
매출총이익,"10,076.21","11,235.84","9,287.45","2,521.57","2,758.49"
판매비와관리비,"6,750.74","7,053.20","7,445.83","1,843.36","1,830.44"
인건비,"1,640.30","1,837.22","1,848.03",431.80,477.14
유무형자산상각비,410.99,439.81,502.46,110.56,120.74
연구개발비,"1,505.97","1,687.53","1,775.35",394.94,405.59
광고선전비,142.33,371.20,258.00,39.13,108.20
판매비,"1,442.81",976.76,"1,333.92",351.13,332.94
관리비,"1,316.57","1,421.66","1,318.58",387.92,313.46
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,291.77,319.02,409.49,127.88,72.37
영업이익,"3,325.47","4,182.64","1,841.62",678.22,928.05
영업이익(발표기준),"3,325.47","4,182.64","1,841.62",678.22,928.05
금융수익,"1,411.92","1,091.46","1,423.67",331.92,412.70
이자수익,97.40,95.59,77.74,15.95,23.91
배당금수익,4.19,1.15,0.70,0.0,0.0
외환이익,"1,294.27",970.85,"1,335.82",312.99,385.44
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,7.04,0.0,0.0,0.0
금융자산평가이익,0.0,1.17,1.52,1.55,1.27
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.69,0.0,0.0
기타금융수익,16.06,15.66,7.20,1.43,2.08
금융원가,"1,870.38","1,928.87","1,599.88",446.04,422.39
이자비용,756.60,694.46,569.69,122.11,149.47
외환손실,"1,108.17",898.46,818.84,277.48,225.54
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,246.38,198.94,45.30,45.23
금융자산처분손실,0.0,0.11,0.01,0.0,0.0
금융자산평가손실,0.0,3.65,3.59,0.0,0.0
금융자산손상차손,0.0,80.68,0.0,0.0,0.0
파생상품손실,0.0,0.0,2.96,0.0,1.22
기타금융원가,5.61,5.13,5.85,1.15,0.93
기타수익,159.17,121.80,49.72,5.38,13.25
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,79.33,35.33,17.81,0.67,0.35
자산평가이익,0.02,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,7.75,0.68,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,79.82,78.72,31.23,4.71,12.90
기타비용,238.16,42.77,104.69,5.93,19.60
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,195.79,30.56,8.78,1.32,5.32
자산평가손실,0.42,0.0,0.0,0.0,0.0
자산손상차손,8.91,0.29,49.92,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,14.84,-43.22,16.44,0.37,6.06
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,18.20,55.14,29.55,4.24,8.22
"종속기업,공동지배기업및관계기업관련손익",-0.93,-0.51,-2.66,0.0,-0.52
지분법손익,-0.93,-0.51,-2.66,0.0,-0.52
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"2,787.10","3,423.75","1,607.78",563.54,911.48
법인세비용,491.58,"1,116.63",523.62,164.61,235.95
계속영업이익,"2,295.51","2,307.12","1,084.16",398.93,675.53
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,"2,295.51","2,307.12","1,084.16",398.93,675.53
지배주주순이익,"2,297.71","2,307.20","1,083.72",397.98,675.64
비지배주주순이익,-2.20,-0.07,0.43,0.95,-0.11
