IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,537.94,"1,738.69",204.28,22.82,107.19
매출원가,367.78,"1,195.92",236.31,21.73,121.98
매출총이익,170.17,542.77,-32.03,1.09,-14.79
판매비와관리비,116.13,218.13,185.64,12.09,39.48
인건비,32.65,30.72,41.08,8.63,13.44
유무형자산상각비,10.70,10.59,12.15,4.09,2.64
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,7.23,31.42,59.89,0.05,1.36
관리비,62.81,139.80,58.85,6.28,20.84
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,2.75,5.60,13.67,-6.96,1.20
영업이익,54.03,324.64,-217.67,-11.00,-54.27
영업이익(발표기준),54.03,324.64,-217.67,-11.00,-54.27
금융수익,156.99,70.79,24.24,12.65,5.37
이자수익,11.37,14.11,20.39,12.50,1.02
배당금수익,0.30,0.16,0.13,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,12.19,2.92,0.0,2.92
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,6.05,20.00,0.0,0.0,0.0
금융자산평가이익,30.69,0.36,0.52,0.14,1.43
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,72.59,11.83,0.29,0.0,0.0
기타금융수익,36.00,12.13,0.0,0.0,0.0
금융원가,118.18,175.01,120.23,22.44,19.12
이자비용,50.45,91.73,56.53,20.80,13.52
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,36.58,52.24,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,17.18,0.50,0.0,0.0,0.0
금융자산평가손실,15.95,1.37,11.47,1.64,5.61
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,34.53,0.0,0.0,0.0,0.0
기타금융원가,0.07,44.83,0.0,0.0,0.0
기타수익,7.17,135.77,23.23,0.02,4.84
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,106.63,7.95,0.0,0.04
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,21.93,2.20,0.0,2.20
대손충당금환입,1.00,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,1.40,0.0,0.0
기타,6.17,7.21,11.68,0.02,2.60
기타비용,123.99,3.70,2.84,0.03,0.81
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,0.61,0.10,0.02,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,114.99,0.0,0.0,0.0,0.0
충당부채전입액,0.05,0.01,0.01,0.00,0.00
기타,8.91,3.08,2.73,0.01,0.81
"종속기업,공동지배기업및관계기업관련손익",-43.87,60.33,-8.67,2.92,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-43.87,60.33,-8.67,2.92,0.0
세전계속사업이익,-67.84,412.82,-301.93,-17.87,-64.00
법인세비용,-1.80,45.20,-34.50,-0.83,-0.77
계속영업이익,-66.04,367.62,-267.43,-17.05,-63.23
중단영업이익,-14.76,4.03,0.0,0.0,0.0
당기순이익,-80.80,371.65,-267.43,-17.05,-63.23
지배주주순이익,-80.80,371.65,-267.43,-17.05,-63.23
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
