IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,738.66,697.12,407.33,111.29,197.48
매출원가,682.01,598.26,367.75,95.76,170.73
매출총이익,56.65,98.87,39.59,15.53,26.75
판매비와관리비,52.01,53.54,60.77,12.53,13.54
인건비,25.06,21.30,23.83,4.97,5.24
유무형자산상각비,3.38,3.38,3.44,1.04,0.87
연구개발비,4.47,10.55,11.92,3.49,2.88
광고선전비,0.23,0.38,0.39,0.04,0.09
판매비,7.38,6.14,7.25,-0.19,0.77
관리비,11.49,11.80,13.94,3.18,3.69
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,4.64,45.32,-21.19,3.00,13.21
영업이익(발표기준),4.64,45.32,-21.19,3.00,13.21
금융수익,7.10,10.61,8.09,1.23,0.73
이자수익,5.69,2.74,3.61,0.83,0.53
배당금수익,0.38,0.21,0.32,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.40,0.03,0.00,0.0,0.0
금융자산평가이익,0.06,2.25,0.43,0.38,0.20
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.50,5.30,3.65,0.0,0.0
기타금융수익,0.07,0.09,0.07,0.02,0.0
금융원가,10.38,15.43,19.05,4.96,4.67
이자비용,9.32,15.35,18.97,4.87,4.67
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.00,0.0,0.0
금융자산평가손실,0.0,0.0,0.00,0.09,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.99,0.01,0.0,0.0,0.0
기타금융원가,0.07,0.07,0.07,0.0,0.0
기타수익,2.96,1.92,0.69,0.17,0.16
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.03,0.10,0.06,0.0,0.01
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.43,0.90,0.61,0.17,0.15
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.56,0.0,0.0,0.0
기타,2.49,0.35,0.02,0.00,0.00
기타비용,3.29,2.65,2.68,0.44,0.28
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.00,0.0,0.0,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.84,0.77,0.0,0.0,0.0
충당부채전입액,1.87,0.0,0.65,0.05,0.0
기타,0.58,1.87,2.03,0.39,0.28
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,1.03,39.78,-34.13,-1.00,9.16
법인세비용,0.0,-0.02,0.0,0.0,0.0
계속영업이익,1.03,39.80,-34.13,-1.00,9.16
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,1.03,39.80,-34.13,-1.00,9.16
지배주주순이익,4.26,43.50,-30.79,-0.13,10.03
비지배주주순이익,-3.23,-3.70,-3.34,-0.87,-0.87
