IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"3,938.66","4,437.60","3,863.24",856.49,901.13
매출원가,"3,641.14","3,758.67","3,349.18",798.95,764.10
매출총이익,297.52,678.93,514.06,57.54,137.03
판매비와관리비,268.24,283.66,285.90,48.11,72.66
인건비,48.82,49.58,52.51,14.00,12.62
유무형자산상각비,4.94,5.06,5.43,1.59,1.24
연구개발비,16.92,18.32,17.92,4.07,1.70
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,142.39,142.08,148.07,14.26,40.34
관리비,30.74,40.04,36.03,9.39,12.48
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,24.42,28.59,25.94,4.81,4.28
영업이익,29.28,395.27,228.16,9.43,64.37
영업이익(발표기준),29.28,395.27,228.16,9.43,64.37
금융수익,61.17,47.36,77.19,17.61,20.50
이자수익,10.49,8.04,10.81,2.27,1.40
배당금수익,0.0,0.85,1.19,0.85,1.18
외환이익,45.91,38.46,65.20,14.49,17.92
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.13,0.0,0.0,0.0,0.0
금융자산평가이익,4.64,0.01,0.0,0.0,0.00
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,121.87,130.17,78.13,14.24,19.87
이자비용,66.11,80.09,54.72,10.12,15.44
외환손실,46.99,31.18,8.23,2.23,2.08
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,8.85,19.15,15.07,0.0,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,-0.09,-0.25,0.11,1.89,2.35
기타수익,35.04,27.32,20.48,1.68,1.15
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.44,1.02,0.18,0.0,0.05
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,10.00,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.04,0.03,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.36,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,33.60,26.30,10.26,1.29,1.10
기타비용,2.16,12.16,7.11,0.60,1.14
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.03,1.94,0.00,0.10,0.00
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.14,10.22,7.11,0.50,1.14
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,1.46,327.62,240.59,13.88,65.01
법인세비용,-4.02,-13.91,-6.27,-1.13,-1.87
계속영업이익,5.47,341.52,246.86,15.01,66.87
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,5.47,341.52,246.86,15.01,66.87
