IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,435.40,427.94,417.17,107.28,105.87
매출원가,287.21,282.49,276.84,69.48,68.35
매출총이익,148.18,145.45,140.33,37.80,37.52
판매비와관리비,112.63,112.20,105.66,25.12,22.68
인건비,49.29,47.39,46.25,10.69,10.76
유무형자산상각비,4.76,4.79,7.31,1.83,1.82
연구개발비,1.27,2.95,3.55,0.91,0.73
광고선전비,3.83,4.94,2.23,1.76,1.09
판매비,35.44,34.33,27.76,6.59,3.79
관리비,18.05,17.79,18.56,3.35,4.50
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,35.55,33.25,34.67,12.67,14.84
영업이익(발표기준),35.55,33.25,34.67,12.67,14.84
금융수익,1.74,6.42,7.62,1.22,2.01
이자수익,0.33,1.12,1.01,0.32,0.44
배당금수익,1.41,1.86,0.68,0.0,0.05
외환이익,0.0,2.33,5.72,0.27,1.27
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.55,0.0,0.00,0.0
금융자산평가이익,0.0,0.55,0.22,0.62,0.25
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,2.33,5.88,6.27,1.59,1.34
이자비용,2.33,3.00,3.20,0.70,0.84
외환손실,0.0,2.42,2.08,0.76,0.34
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.20,0.0,0.00
금융자산평가손실,0.0,0.46,0.78,0.13,0.16
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,9.44,3.83,11.81,1.05,3.47
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,7.50,0.51,7.48,0.27,3.00
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.22,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.17,0.01,1.35,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.60,0.95,1.23,0.18,0.18
대손충당금환입,0.0,0.0,1.11,0.12,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.94,2.36,0.63,0.48,0.28
기타비용,10.12,2.42,3.70,0.65,1.25
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,4.76,0.15,0.42,0.39,0.23
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,1.21,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.0,0.10,1.29,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,1.46,0.10,1.21,0.10,0.73
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,2.68,2.07,0.78,0.16,0.29
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,34.29,35.20,44.13,12.70,17.72
법인세비용,7.85,5.44,7.07,2.10,3.22
계속영업이익,26.43,29.76,37.05,10.60,14.51
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,26.43,29.76,37.05,10.60,14.51
