IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,704.24","1,584.28","1,630.10",382.85,389.56
매출원가,"1,415.87","1,291.53","1,342.55",324.09,317.33
매출총이익,288.37,292.75,287.55,58.76,72.23
판매비와관리비,202.29,190.95,201.13,50.78,49.01
인건비,116.97,116.01,120.11,30.48,29.11
유무형자산상각비,10.13,10.21,12.16,3.21,2.97
연구개발비,5.80,6.36,7.45,2.15,1.82
광고선전비,3.79,0.91,0.96,0.17,0.10
판매비,29.27,22.73,25.18,6.38,5.90
관리비,36.14,34.30,35.07,8.34,9.05
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.20,0.43,0.21,0.04,0.07
영업이익,86.08,101.80,86.41,7.98,23.22
영업이익(발표기준),86.08,101.80,86.41,7.98,23.22
금융수익,5.09,10.40,13.09,2.92,3.04
이자수익,4.86,10.26,11.89,2.61,3.04
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.18,0.0,0.0,0.0,0.0
금융자산평가이익,0.05,0.14,1.20,0.32,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,3.66,2.65,1.45,0.19,0.56
이자비용,3.62,2.56,1.30,0.16,0.52
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.04,0.09,0.15,0.03,0.04
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,4.47,3.95,3.57,1.06,0.73
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,2.87,2.57,1.73,0.80,0.48
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.53,0.83,1.18,0.20,0.16
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.10,0.26,0.20,0.04,0.03
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,0.96,0.29,0.46,0.02,0.06
기타비용,4.54,3.41,4.04,1.57,0.83
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,3.81,3.22,3.54,0.84,0.82
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.28,0.02,0.41,0.71,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.46,0.17,0.09,0.01,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,87.43,110.08,97.59,10.21,25.61
법인세비용,11.99,20.41,17.54,2.14,5.41
계속영업이익,75.44,89.67,80.05,8.07,20.20
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,75.44,89.67,80.05,8.07,20.20
지배주주순이익,74.77,88.83,79.45,8.02,20.02
비지배주주순이익,0.67,0.84,0.60,0.05,0.18
