IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,592.20,640.11,665.21,137.49,170.42
매출원가,595.19,559.71,572.58,137.26,138.91
매출총이익,-2.99,80.40,92.63,0.23,31.51
판매비와관리비,114.54,123.72,85.74,31.31,23.89
인건비,56.05,50.14,39.10,9.74,11.63
유무형자산상각비,14.60,14.68,13.53,2.26,3.51
연구개발비,0.0,0.0,0.0,0.0,0.0
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,-0.37,-1.63,-0.10,-0.02,0.32
관리비,16.29,40.84,19.06,16.76,3.82
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,27.97,19.68,14.15,2.56,4.62
영업이익,-117.52,-43.32,6.89,-31.07,7.61
영업이익(발표기준),-117.52,-43.32,6.89,-31.07,7.61
금융수익,34.75,11.94,45.38,11.69,4.05
이자수익,2.03,3.21,3.00,0.91,0.86
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,9.50,6.61,8.89,4.62,3.06
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.89,0.0,0.0,0.0,0.0
금융자산평가이익,0.36,0.25,30.04,6.03,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,5.79,1.71,2.63,0.12,0.0
기타금융수익,16.18,0.17,0.82,0.0,0.13
금융원가,54.59,29.44,37.64,29.30,6.82
이자비용,19.49,16.92,24.08,6.45,4.74
외환손실,7.47,6.01,4.11,4.61,2.07
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,6.14,0.0
금융자산평가손실,25.60,1.58,9.44,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,2.03,3.07,0.0,0.0,0.0
기타금융원가,0.0,1.87,0.0,12.11,0.0
기타수익,8.12,82.42,40.42,134.78,0.66
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.82,2.27,0.09,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,3.33,0.0,0.48,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,3.97,80.14,39.86,134.78,0.66
기타비용,13.09,29.51,25.12,1.07,0.00
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.20,0.46,1.04,0.19,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,12.33,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,8.70,0.0,0.78,0.0
충당부채전입액,0.0,20.00,0.0,0.0,0.0
기타,0.57,0.36,24.08,0.10,0.00
"종속기업,공동지배기업및관계기업관련손익",-30.11,-14.31,-14.77,-8.96,-0.19
지분법손익,-30.11,-14.31,-14.77,-8.96,-0.19
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-172.45,-22.21,15.17,76.05,5.32
법인세비용,-38.34,-0.12,-6.36,7.23,0.0
계속영업이익,-134.11,-22.09,21.53,68.82,5.32
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-134.11,-22.09,21.53,68.82,5.32
지배주주순이익,-133.51,-21.79,21.67,68.82,5.36
비지배주주순이익,-0.60,-0.30,-0.14,0.0,-0.04
