IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,141.71,122.52,131.97,35.39,34.07
매출원가,45.39,40.29,41.37,13.42,8.47
매출총이익,96.33,82.23,90.60,21.97,25.60
판매비와관리비,80.53,100.62,104.22,29.30,23.97
인건비,25.04,29.36,34.04,8.46,8.12
유무형자산상각비,8.71,7.61,9.97,2.58,1.99
연구개발비,33.44,37.82,36.69,11.97,7.71
광고선전비,0.71,1.67,1.03,0.91,0.01
판매비,2.19,2.78,3.52,1.43,2.24
관리비,10.44,21.37,18.96,3.94,3.89
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,15.79,-18.39,-13.62,-7.33,1.63
영업이익(발표기준),15.79,-18.39,-13.62,-7.33,1.63
금융수익,2.69,18.60,26.13,4.97,7.11
이자수익,2.63,15.33,26.08,4.97,7.11
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.07,0.44,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,2.83,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.05,0.0,0.0
금융원가,1.96,6.00,34.95,3.39,3.47
이자비용,0.09,5.92,15.59,3.39,3.47
외환손실,0.0,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,1.52,0.08,0.0,0.0,0.0
금융자산평가손실,0.35,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,19.36,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,7.41,3.84,2.21,0.16,0.46
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,6.10,3.19,1.76,0.16,0.44
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.31,0.32,0.01,0.0,0.0
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.02,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.00,0.33,0.42,0.00,0.02
기타비용,1.53,53.43,0.91,0.26,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,1.52,0.49,0.30,0.25,0.02
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.01,0.00,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.04,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.00,52.90,0.61,0.01,0.00
"종속기업,공동지배기업및관계기업관련손익",0.0,0.0,0.0,0.0,0.0
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,22.40,-55.38,-21.14,-5.84,5.71
법인세비용,0.0,-7.22,-0.29,0.0,0.0
계속영업이익,22.40,-48.16,-20.86,-5.84,5.71
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,22.40,-48.16,-20.86,-5.84,5.71
지배주주순이익,22.40,-48.16,-19.44,-5.84,5.71
비지배주주순이익,0.0,0.0,-1.42,-0.00,0.0
