IFRS(개별),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,074.82","1,359.53","1,370.82",346.46,334.52
매출원가,434.74,529.67,505.01,104.60,115.67
매출총이익,640.08,829.85,865.81,241.87,218.84
판매비와관리비,704.45,"1,025.28",851.07,222.00,206.69
인건비,49.30,52.97,54.03,15.33,13.49
유무형자산상각비,10.12,14.74,20.07,5.18,4.71
연구개발비,30.89,23.05,24.51,7.27,6.20
광고선전비,1.53,179.03,39.29,5.31,9.85
판매비,2.44,6.72,7.24,0.97,1.88
관리비,609.86,748.74,705.82,187.92,170.54
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.30,0.01,0.11,0.03,0.01
영업이익,-64.36,-195.42,14.74,19.86,12.16
영업이익(발표기준),-64.36,-195.42,14.74,19.86,12.16
금융수익,54.90,26.54,4.30,1.21,0.73
이자수익,2.99,4.03,4.30,1.21,0.73
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.14,0.0,0.0,0.0,0.0
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.0,0.0,0.0,0.0,0.0
금융자산평가이익,0.0,0.0,0.0,0.0,0.0
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,51.78,22.51,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,50.28,122.09,23.39,1.81,19.63
이자비용,50.23,117.67,6.21,1.81,0.74
외환손실,0.06,0.0,0.0,0.0,0.0
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.0,0.0,0.0,0.0,0.0
금융자산평가손실,0.0,0.0,0.0,0.0,0.0
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,4.41,17.18,0.0,18.88
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,2.22,141.70,164.23,1.18,1.13
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.30,0.10,0.15,0.02
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.57,0.03,164.06,1.03,1.10
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,1.64,141.38,0.06,0.00,0.01
기타비용,0.28,13.05,137.01,3.61,8.05
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.27,0.14,0.13,0.03
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,4.73,0.0,0.0,0.0
자산처분(폐기)손실,0.17,1.80,0.00,0.0,0.0
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,122.15,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,4.88,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.11,1.37,14.72,3.47,8.02
"종속기업,공동지배기업및관계기업관련손익",-51.71,-26.19,-11.21,-2.23,-2.37
지분법손익,-51.71,-26.19,-11.21,-2.23,-2.37
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-109.52,-188.51,11.66,14.61,-16.03
법인세비용,8.25,5.76,-8.54,-1.07,0.06
계속영업이익,-117.77,-194.27,20.20,15.68,-16.09
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,-117.77,-194.27,20.20,15.68,-16.09
