IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,140.07,95.85,64.18,11.86,19.10
매출원가,43.49,37.42,26.81,5.36,8.05
매출총이익,96.58,58.43,37.37,6.50,11.05
판매비와관리비,111.37,91.28,89.75,24.90,22.16
인건비,37.90,37.23,30.49,8.21,7.64
유무형자산상각비,6.96,7.36,8.02,1.99,2.18
연구개발비,33.12,31.74,34.78,9.73,8.05
광고선전비,0.26,0.71,0.42,0.12,0.16
판매비,10.80,-10.74,-1.00,0.19,-0.56
관리비,13.91,18.48,10.17,2.90,3.20
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,8.42,6.52,6.87,1.75,1.48
영업이익,-14.79,-32.85,-52.38,-18.39,-11.11
영업이익(발표기준),-14.79,-32.85,-52.38,-18.39,-11.11
금융수익,180.36,50.61,33.72,4.03,9.89
이자수익,16.85,25.17,13.10,2.46,3.34
배당금수익,0.29,3.56,2.65,0.0,0.10
외환이익,16.25,6.00,5.01,0.03,2.37
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.46,2.21,0.36,0.0,0.37
금융자산평가이익,5.10,13.66,12.60,1.53,3.70
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,141.41,0.0,0.0,0.0,0.0
금융원가,83.46,130.55,16.65,7.04,7.13
이자비용,35.06,29.19,0.23,0.05,0.06
외환손실,3.66,2.71,2.48,0.05,0.56
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.05,4.46,0.0,0.0,0.0
금융자산평가손실,16.93,31.27,13.93,6.94,6.51
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,27.76,62.92,0.0,0.0,0.0
기타수익,2.25,2.55,7.15,0.06,0.43
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.0,0.09,6.34,0.0,0.37
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.25,2.46,0.80,0.06,0.07
기타비용,1.17,0.42,0.04,0.00,0.02
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.71,0.03,0.01,0.0,0.01
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,0.47,0.39,0.03,0.00,0.01
"종속기업,공동지배기업및관계기업관련손익",0.0,2.28,-1.86,1.27,0.16
지분법손익,0.0,2.28,-1.86,1.27,0.16
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,83.19,-108.37,-30.06,-20.07,-7.78
법인세비용,26.07,-11.41,-4.15,0.27,-4.02
계속영업이익,57.12,-96.95,-25.91,-20.34,-3.76
중단영업이익,0.0,0.0,0.0,0.0,0.0
당기순이익,57.12,-96.95,-25.91,-20.34,-3.76
지배주주순이익,57.12,-96.95,-25.91,-20.34,-3.76
비지배주주순이익,0.0,0.0,0.0,0.0,0.0
