IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"10,979.63","5,773.76","6,146.67","1,616.80","1,784.63"
매출원가,"8,915.81","5,077.86","5,593.38","1,499.81","1,595.29"
매출총이익,"2,063.82",695.89,553.29,116.99,189.35
판매비와관리비,646.26,512.83,515.45,114.43,128.08
인건비,245.20,248.05,243.62,58.11,61.01
유무형자산상각비,0.0,0.0,0.0,0.0,0.0
연구개발비,157.60,51.74,49.40,9.31,12.51
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,43.96,25.95,26.28,5.85,6.81
관리비,48.23,42.95,53.78,15.66,14.29
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,151.26,144.16,142.36,25.50,33.46
영업이익,"1,417.57",183.06,37.84,2.56,61.26
영업이익(발표기준),"1,417.57",183.06,37.84,2.56,61.26
금융수익,372.39,320.37,394.49,66.32,128.31
이자수익,80.31,166.05,140.49,29.77,41.77
배당금수익,8.58,25.78,11.47,5.23,3.89
외환이익,280.71,115.13,215.66,29.50,68.33
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,2.56,2.22,14.92,0.21,13.28
금융자산평가이익,0.22,11.13,11.96,1.60,1.04
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.05,0.0,0.0,0.0
금융원가,168.48,66.24,77.35,25.80,10.44
이자비용,4.20,7.81,10.90,3.48,1.84
외환손실,146.63,50.60,43.55,20.59,5.90
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.02,0.0,0.03,1.56,0.0
금융자산평가손실,17.63,7.82,22.87,0.17,2.70
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,0.0,0.0,0.0
기타수익,30.54,19.76,26.59,6.91,18.23
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,5.36,4.23,15.10,5.23,10.79
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.34,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,2.17,2.27,0.0,0.0,0.57
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,23.01,13.26,11.16,1.68,6.87
기타비용,181.08,90.27,44.86,5.67,5.79
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,2.26,0.42,9.04,0.54,4.32
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,154.66,6.27,30.16,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.23,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,24.16,83.35,5.66,5.13,1.47
"종속기업,공동지배기업및관계기업관련손익",-2.62,17.29,-3.55,-0.44,-3.65
지분법손익,-2.62,17.29,-3.55,-0.44,-3.65
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,"1,468.32",383.97,333.17,43.87,187.92
법인세비용,290.18,41.79,99.29,17.18,33.79
계속영업이익,"1,178.13",342.18,233.88,26.69,154.14
중단영업이익,3.78,42.24,0.02,0.0,0.02
당기순이익,"1,181.91",384.42,233.90,26.69,154.16
지배주주순이익,"1,003.77",276.62,215.09,43.92,130.47
비지배주주순이익,178.15,107.80,18.80,-17.23,23.69
