IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,"1,220.85",955.53,"1,291.40",392.50,262.71
매출원가,"1,084.54",899.21,"1,196.50",373.62,229.76
매출총이익,136.31,56.32,94.89,18.87,32.96
판매비와관리비,163.59,160.90,163.21,35.10,37.08
인건비,78.76,71.64,68.57,16.55,17.60
유무형자산상각비,13.22,15.80,8.25,0.90,1.91
연구개발비,15.23,15.06,12.25,0.08,2.13
광고선전비,2.56,4.27,2.93,0.36,0.48
판매비,-1.32,8.42,29.84,3.69,3.00
관리비,55.14,45.72,41.38,13.53,11.97
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
영업이익,-27.28,-104.58,-68.32,-16.23,-4.13
영업이익(발표기준),-27.28,-104.58,-68.32,-16.23,-4.13
금융수익,22.87,43.19,13.43,4.30,3.47
이자수익,6.58,7.31,5.35,0.63,1.50
배당금수익,0.23,0.03,0.08,0.44,0.0
외환이익,7.03,0.92,1.04,0.69,0.32
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,0.67,5.70,0.74,0.0,0.23
금융자산평가이익,0.20,0.0,0.0,2.54,0.13
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,8.15,29.22,6.22,0.0,1.29
기타금융수익,0.01,0.0,0.0,0.0,0.0
금융원가,43.29,37.59,42.15,2.70,15.88
이자비용,24.96,16.73,13.44,2.45,5.80
외환손실,4.12,1.80,11.07,0.25,3.33
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,0.03,0.12,0.0,0.0,0.0
금융자산평가손실,0.59,0.03,3.50,0.00,0.00
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,13.58,18.91,2.92,0.0,0.20
기타금융원가,0.0,0.0,11.22,0.0,6.56
기타수익,54.78,9.24,19.09,8.04,2.07
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,1.34,0.18,0.05,7.98,0.05
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.03,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.19,2.52,0.0,0.0
충당부채환입액,6.90,0.02,0.19,0.0,0.0
기타,46.55,8.85,16.33,0.03,2.02
기타비용,55.13,294.73,228.09,3.99,1.76
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.05,0.00,0.22,0.0,0.07
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,9.65,136.21,47.24,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,18.18,134.39,18.80,0.0,0.0
충당부채전입액,19.44,3.03,160.60,3.96,1.30
기타,7.81,21.10,1.24,0.03,0.39
"종속기업,공동지배기업및관계기업관련손익",0.04,-1.34,-14.81,-3.21,-0.10
지분법손익,0.04,-1.34,-14.81,-3.21,-0.10
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,0.0,0.0,0.0,0.0,0.0
세전계속사업이익,-48.00,-385.81,-320.85,-13.79,-16.33
법인세비용,3.84,-6.54,-2.67,0.02,0.0
계속영업이익,-51.84,-379.27,-318.17,-13.80,-16.33
중단영업이익,-2.03,-0.18,0.0,0.0,0.0
당기순이익,-53.87,-379.45,-318.17,-13.80,-16.33
지배주주순이익,-55.71,-372.98,-315.45,-14.66,-16.29
비지배주주순이익,1.84,-6.47,-2.72,0.85,-0.04
