IFRS(연결),2022/12,2023/12,2024/12,2025/03,전년동기
매출액,827.10,705.81,739.49,178.44,186.31
매출원가,545.45,463.15,398.86,107.47,113.97
매출총이익,281.66,242.65,340.64,70.97,72.34
판매비와관리비,128.28,152.91,141.31,32.09,33.92
인건비,51.24,71.02,58.16,13.63,15.68
유무형자산상각비,0.0,0.0,0.0,0.0,0.0
연구개발비,6.09,5.71,7.81,1.57,1.45
광고선전비,0.0,0.0,0.0,0.0,0.0
판매비,17.49,15.74,18.43,4.69,1.23
관리비,19.75,18.38,19.26,4.33,4.99
기타원가성비용,0.0,0.0,0.0,0.0,0.0
기타,33.72,42.07,37.66,7.86,10.57
영업이익,153.38,89.75,199.32,38.89,38.42
영업이익(발표기준),153.38,89.75,199.32,38.89,38.42
금융수익,115.90,118.96,127.57,21.14,28.49
이자수익,15.60,31.58,44.69,11.71,1.66
배당금수익,0.0,4.81,3.02,0.0,1.06
외환이익,61.16,20.38,49.88,3.62,15.69
대손충당금환입액,0.0,0.0,0.0,0.0,0.0
매출채권처분이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련이익,0.0,0.0,0.0,0.0,0.0
금융자산처분이익,30.33,26.18,13.82,3.49,5.58
금융자산평가이익,8.81,36.00,16.16,2.33,4.49
금융자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
기타금융수익,0.0,0.0,0.0,0.0,0.0
금융원가,58.48,34.11,64.74,6.36,8.06
이자비용,1.24,0.68,0.11,0.03,0.02
외환손실,13.43,15.87,11.54,2.19,4.27
대손상각비,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산관련손실,0.0,0.0,0.0,0.0,0.0
매출채권처분손실,0.0,0.0,0.0,0.0,0.0
금융자산처분손실,29.08,10.80,7.95,0.27,3.22
금융자산평가손실,14.74,6.76,39.73,3.37,0.55
금융자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타금융원가,0.0,0.0,5.41,0.50,0.0
기타수익,3.41,1.63,87.27,1.40,7.82
이자수익,0.0,0.0,0.0,0.0,0.0
배당금수익,0.0,0.0,0.0,0.0,0.0
외환이익,0.0,0.0,0.0,0.0,0.0
재고자산감모손실환입,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)이익,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가이익,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)이익,0.68,0.07,39.07,0.19,2.93
자산평가이익,0.0,0.0,0.0,0.0,0.0
자산손상차손환입,0.0,0.0,0.0,0.0,0.0
파생상품이익,0.0,0.0,0.0,0.0,0.0
임대료수익,0.0,0.0,0.0,0.0,0.0
로열티수익,0.0,0.0,0.0,0.0,0.0
수수료수익,0.0,0.0,0.0,0.0,0.0
대손충당금환입,0.0,0.0,0.0,0.0,0.0
충당부채환입액,0.0,0.0,0.0,0.0,0.0
기타,2.73,1.55,48.20,1.21,4.89
기타비용,12.26,2.65,15.76,0.81,0.87
이자비용,0.0,0.0,0.0,0.0,0.0
외환손실,0.0,0.0,0.0,0.0,0.0
재고자산감모손실,0.0,0.0,0.0,0.0,0.0
재고자산폐기(처분)손실,0.0,0.0,0.0,0.0,0.0
당기손익-공정가치측정 금융자산평가손실,0.0,0.0,0.0,0.0,0.0
자산처분(폐기)손실,0.33,1.51,8.77,0.0,0.09
자산평가손실,0.0,0.0,0.0,0.0,0.0
자산손상차손,0.0,0.0,0.0,0.0,0.0
파생상품손실,0.0,0.0,0.0,0.0,0.0
기타대손상각비,0.0,0.0,0.0,0.0,0.0
충당부채전입액,0.0,0.0,0.0,0.0,0.0
기타,11.92,1.14,7.00,0.81,0.79
"종속기업,공동지배기업및관계기업관련손익",-1.06,1.41,5.02,-0.12,4.00
지분법손익,0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식처분손익",0.0,0.0,0.0,0.0,0.0
"종속기업,공동지배기업및관계기업투자주식손상관련손익",0.0,0.0,0.0,0.0,0.0
기타,-1.06,1.41,5.02,-0.12,4.00
세전계속사업이익,200.89,174.97,338.69,54.13,69.80
법인세비용,43.65,21.77,66.19,8.48,16.71
계속영업이익,157.24,153.19,272.50,45.65,53.09
중단영업이익,0.92,0.0,0.0,0.0,0.0
당기순이익,158.16,153.19,272.50,45.65,53.09
지배주주순이익,158.91,153.20,272.41,45.68,53.09
비지배주주순이익,-0.75,-0.00,0.08,-0.03,-0.01
